produto_id,nome,categoria,marca,preco,estoque,data_cadastro
45,Gabinete RGB,Gabinete,Lenovo,1068.21,340,2024-11-04
46,Teclado Mecânico,Memória,Corsair,6137.73,206,2022-12-23
47,Teclado Mecânico,Placa Mãe,Kingston,4528.23,280,2023-10-22
48,Webcam HD,Monitor,Lenovo,6643.55,109,2024-11-21
49,Gabinete RGB,Headset,HP,9296.53,47,10-29-2022
50,Fonte 750W,Gabinete,Logitech,14759.36,cem,2024-02-26
51,Impressora Laser,Headset,Acer,3674.89,335,2023-03-25
52,Monitor 27,Headset,Intel,14370.33,265,2024-12-23
53,Webcam HD,Memória,AOC,8939.88,486,2025-01-27
54,SSD 240GB,SSD,Redragon,2404.19,441,2024-12-03
55,Memória 8GB,Processador,Samsung,mil,225,2022-10-11
56,Memória 8GB,Memória,Dell,5757.87,cem,2023-02-28
57,Impressora Laser,Placa de Vídeo,Dell,5854.36,394,2023-12-22
58,Webcam HD,Headset,Kingston,5862.0,456,2023-03-28
59,RTX 4060,Webcam,Intel,mil,248,2022-09-19
60,Notebook Gamer,Memória,LG,8021.17,464,2024-08-03
61,Impressora Laser,SSD,Redragon,3917.14,167,2024-05-13
62,SSD 240GB,Headset,Corsair,1246.96,cem,2022-03-24
63,SSD 240GB,Fonte,Samsung,14245.18,102,2025-03-01
64,Fonte 650W,Gabinete,Samsung,6986.21,131,2022-12-02
65,RTX 4060,Gabinete,HP,1639.32,13,2022-06-05
66,Gabinete RGB,Monitor,Redragon,12461.96,124,2025-03-05
67,Memória 8GB,hd,AOC,5221.11,,2024-09-30
68,Mouse Gamer,Gabinete,AMD,14412.6,325,2023-07-08
69,Webcam HD,HD,AOC,13795.87,396,2023-05-18
70,Core i7,Memória,Asus,1318.21,451,2022-02-28
71,Memória 8GB,Placa Mãe,Logitech,4888.71,249,2023-07-20
72,Ryzen 5,Teclado,Logitech,7759.08,97,2024-09-02
73,Headset Gamer,Fonte,Kingston,mil,405,2024-01-26
74,Memória 16GB,SSD,Lenovo,7973.21,217,2023-05-30
75,Impressora Laser,Teclado,HP,10824.84,161,2024-09-18
76,Monitor 27,SSD,HP,8852.01,389,2024-01-10
77,Core i5,Mouse,Corsair,231.94,-10,2024-10-02
78,Mouse Sem Fio,SSD,AOC,203.74,145,2024-09-05
79,Core i7,Monitor,HP,-100,251,2022-08-31
80,Ryzen 7,Impressora,Intel,6254.29,305,2023-09-01
81,Monitor 27,Teclado,Corsair,14850.67,,2023-03-09
82,RTX 4070,Placa Mãe,Intel,1236.19,-10,2023/08/20
83,SSD 1TB,Fonte,Kingston,10610.2,-10,2023-02-10
84,Mouse Gamer,Notebooks,Redragon,8177.54,331,2023-09-22
85,Headset Gamer,Memória,Lenovo,12367.12,471,2024-10-21
86,Fonte 650W,Monitor,HP,,306,2025-03-24
87,Notebook Office,Mouse,Intel,330.77,391,2024-11-28
88,Ryzen 5,Placa de Vídeo,Asus,13742.77,92,2024-04-16
89,Ryzen 5,Memória,AOC,10058.6,439,31/01/2025
90,Ryzen 7,Notebook,Corsair,4731.47,165,2025-01-16
91,Fonte 750W,Notebook,HP,831.98,265,2023-07-01
92,Notebook Gamer,Placa Mãe,Redragon,13916.54,224,2023-05-06
93,Monitor 27,Monitor,Corsair,4675.04,7,2022-11-12
94,Ryzen 5,Teclado,Intel,10754.72,260,2025-02-02
95,Monitor 24,Headset,AOC,2875.34,306,2024-04-29
96,HD 2TB,Placa Mãe,Corsair,11820.01,136,2024-09-29
97,Core i5,Impressora,Asus,6709.28,247,2023-01-22
98,Notebook Office,Placa de Vídeo,Logitech,3597.31,196,2024-02-20
99,Notebook Office,Placa Mãe,Asus,9962.06,420,2022-07-25
100,RTX 4070,Mouse,Samsung,6615.79,-10,2024-08-19
101,Memória 8GB,Webcam,AMD,3990.04,319,2024-02-18
102,Notebook Office,Teclado,Corsair,9409.45,454,2023-08-12
103,Headset Gamer,Placa de Vídeo,LG,11206.56,222,2023-09-06
104,Mouse Gamer,Memória,Kingston,mil,407,2023-01-04
105,Ryzen 5,Mouse,HP,1202.95,445,2024-08-02
106,Gabinete RGB,Monitor,Intel,,341,2023-12-09
107,HD 2TB,Memória,AOC,4501.33,492,2024-09-16
108,HD 2TB,hd,Lenovo,5732.84,183,2022-01-17
109,Webcam HD,Impressora,Lenovo,10293.28,381,2023-04-17
110,Impressora Laser,Fonte,Corsair,5297.77,325,2022-10-08
111,Webcam HD,Impressora,Lenovo,,cem,2023-11-01
112,Memória 16GB,Impressora,Lenovo,2651.09,67,2022-12-03
113,Memória 8GB,Placa de Vídeo,Samsung,12373.85,246,2022-10-16
114,Core i5,Headset,Acer,3399.71,346,2022-01-29
115,Core i7,Fonte,Asus,1871.36,188,2022-08-10
116,Fonte 650W,Monitor,Corsair,7082.72,317,2024-08-08
117,HD 2TB,Monitor,Samsung,4546.81,-10,2023-04-26
118,Headset Gamer,Memória,Kingston,2052.25,232,2022-11-13
119,SSD 1TB,mouse,HP,9830.73,426,2024-06-27
120,Core i5,Fonte,Asus,3556.97,185,2022-05-05
121,Monitor 24,Fonte,Corsair,2863.33,62,2022/02/13
122,Impressora Laser,Placa Mãe,HP,3668.66,64,2023-04-23
123,Mouse Gamer,Processador,Lenovo,2230.36,461,2022-12-24
124,Notebook Gamer,Notebook,LG,R$500,67,2024-05-12
125,Core i7,Processador,HP,11190.07,243,2022-03-30
126,Notebook Gamer,Placa video,AOC,13633.1,337,2024-04-02
127,Memória 8GB,Monitor,LG,1637.27,-10,2023-07-18
128,Ryzen 7,Processador,Kingston,8788.76,364,2024-05-31
129,Core i5,Teclado,Acer,10532.66,436,2024-07-13
130,Monitor 27,HD,Corsair,6218.93,423,2023-06-07
131,Monitor 24,Monitor,Logitech,2306.53,472,2024-02-03
132,Gabinete RGB,HD,AOC,8354.43,300,2024-05-16
133,Monitor 27,Teclado,LG,10821.49,495,2024-09-14
134,SSD 1TB,Headset,Acer,1641.11,432,2025-02-22
135,Fonte 650W,Webcam,Logitech,12280.03,314,2023/07/02
136,Mouse Sem Fio,Placa Mãe,Corsair,10546.43,158,31/03/2024
137,Memória 8GB,SSD,Logitech,1394.53,271,2023-10-27
138,Impressora Laser,Fonte,Samsung,8522.55,43,2023-07-12
139,Impressora Laser,HD,Acer,6371.74,310,2022-08-16
140,SSD 240GB,Placa Mãe,Dell,10183.72,249,2022-01-16
141,Memória 8GB,Placa de Vídeo,Logitech,14180.95,392,2024-05-31
142,Gabinete RGB,Monitor,Acer,5715.51,360,2022-03-28
143,Core i7,Fonte,Acer,6907.12,39,2023-08-16
144,RX 7600,Impressora,Asus,332.43,166,2022-06-30
145,RTX 4060,Gabinete,Asus,1605.83,223,2023-03-30
146,Teclado Mecânico,HD,Asus,2538.63,261,2022-10-30
147,Impressora Laser,Mouse,Redragon,2213.73,101,2024-10-08
148,Core i7,Placa Mãe,Asus,8464.76,296,2023-10-10
149,Core i7,NOTEBOOK,Lenovo,1042.93,226,2024-08-03
150,Monitor 24,Processador,Acer,872.21,425,2024-08-05
151,Core i7,HD,Kingston,14314.39,378,2024-09-01
152,Memória 8GB,Monitor,AMD,14366.68,230,31/02/2025
153,Memória 16GB,Memória,Acer,14864.97,268,2023-11-24
154,Core i5,SSD,Lenovo,804.44,-10,2022-11-04
155,Fonte 750W,Memória,LG,8749.44,72,2022-06-23
156,Headset Gamer,Gabinete,Corsair,5662.66,405,2024-12-14
157,Mouse Sem Fio,HD,Redragon,10063.43,260,2024-09-22
158,Core i5,Impressora,AMD,-100,79,2022-03-19
159,Mouse Sem Fio,Gabinete,Redragon,13148.36,316,2022-12-06
160,RX 7600,Headset,Logitech,674.51,186,2024-07-08
161,Teclado Mecânico,Placa Mãe,Intel,3602.74,494,2024-08-03
162,Teclado Mecânico,Mouse,AOC,11676.3,257,31/02/2025
163,Ryzen 7,SSD,Samsung,13114.27,283,2022-11-25
164,SSD 240GB,Impressora,Asus,13581.49,75,2022-02-24
165,Memória 16GB,HD,Samsung,5958.88,191,2023-11-18
166,Mouse Gamer,Placa de Vídeo,Intel,2081.24,146,2022-01-11
167,Webcam HD,Memória,Samsung,304.68,110,2023-08-14
168,RX 7600,Placa video,Kingston,1845.29,122,99/99/9999
169,Fonte 650W,Placa Mãe,Acer,8634.21,367,2023-01-19
170,Core i5,Processador,AMD,1302.5,499,2022-02-11
171,Webcam HD,NOTEBOOK,Asus,7062.62,325,2023-05-09
172,Mouse Gamer,mouse,AOC,9431.29,395,2022-12-25
173,Mouse Gamer,Placa video,Dell,10276.54,356,2023-08-24
174,Core i5,Notebook,Redragon,mil,453,2023-01-27
175,Monitor 27,Memória,Acer,12934.84,24,2024-06-19
176,Memória 16GB,Processador,Lenovo,5811.94,498,2022-06-19
177,HD 2TB,Monitor,Asus,1202.33,308,2023-08-29
178,RX 7600,mouse,Kingston,9047.27,218,2024-06-09
179,Webcam HD,Notebook,LG,,485,16/06/2024
180,Core i7,Notebooks,Corsair,3555.21,330,2024-07-10
181,RTX 4060,SSD,HP,R$500,390,08-21-2022
182,Impressora Laser,Placa de Vídeo,HP,7495.68,198,2023-08-08
183,RX 7600,Gabinete,Intel,14979.46,102,2022-06-29
184,Core i5,Impressora,Lenovo,14514.07,163,2022-11-19
185,SSD 240GB,Teclado,Redragon,13911.32,326,2022-10-12
186,Core i5,Impressora,Samsung,7420.45,184,2022-05-15
187,RTX 4070,Monitor,LG,14993.93,368,2023-10-12
188,Impressora Laser,Placa Mãe,LG,6760.62,348,2022-09-22
189,HD 2TB,HD,Logitech,13662.47,28,2023-04-07
190,Fonte 750W,SSD,LG,14114.74,-10,2023-09-13
191,Mouse Gamer,Placa Mãe,Logitech,1419.56,328,2023-11-23
192,Fonte 750W,SSD,Corsair,8463.0,422,2023-03-08
193,HD 2TB,Headset,Redragon,mil,327,2024-04-11
194,RX 7600,Placa Mãe,LG,1113.14,30,2023-10-03
195,Impressora Laser,Processador,Samsung,4803.36,440,2023-10-16
196,HD 2TB,Webcam,Kingston,1855.38,230,2024-05-06
197,Webcam HD,Headset,LG,12982.31,81,2024-10-17
198,Ryzen 7,Teclado,HP,7012.89,cem,2025-04-09
199,Gabinete RGB,Processador,Dell,777.1,253,2022-08-09
200,Notebook Office,Placa Mãe,AMD,13239.19,372,2023-02-03
201,SSD 1TB,Placa Mãe,Corsair,4343.25,197,2022-09-01
202,Memória 16GB,Teclado,Kingston,1468.29,191,2024-11-08
203,Ryzen 5,Mouse,Kingston,623.02,19,2024-11-21
204,Webcam HD,Placa Mãe,Asus,13971.9,163,2024-11-04
205,Notebook Gamer,Fonte,Samsung,7994.45,362,2024-05-03
206,Fonte 650W,Fonte,Redragon,11955.39,371,2025-03-30
207,Webcam HD,Webcam,Acer,10826.57,298,2022-10-30
208,Notebook Gamer,Memória,LG,3648.1,293,2024-04-25
209,Webcam HD,Gabinete,LG,6167.45,396,2024-11-28
210,Mouse Sem Fio,Processador,Asus,4889.24,339,2025-01-23
211,SSD 1TB,Teclado,HP,11584.41,369,2023-07-26
212,Headset Gamer,Gabinete,Intel,3388.51,498,2023-10-12
213,Monitor 27,Processador,Acer,8416.1,478,2024-03-19
214,Monitor 24,Placa de Vídeo,Corsair,14320.04,,2023-06-10
215,Headset Gamer,Monitor,Kingston,3225.52,423,2023-05-06
216,Monitor 27,Gabinete,Intel,10054.11,271,2022-07-25
217,RTX 4070,Impressora,Intel,2079.26,493,2024-09-04
218,Impressora Laser,Placa Mãe,HP,11343.55,147,2024-12-31
219,Mouse Sem Fio,Notebook,AOC,12757.99,19,2024-03-24
220,Notebook Office,NOTEBOOK,Asus,2810.95,383,2023-08-06
221,Ryzen 7,Teclado,Redragon,9626.86,268,2022-08-19
222,Webcam HD,SSD,Kingston,10972.17,331,2023-01-31
223,Memória 8GB,Fonte,Samsung,12845.07,459,2023-01-14
224,SSD 240GB,SSD,Asus,7172.26,479,2023-09-11
225,Notebook Office,Placa de Vídeo,Lenovo,8601.7,133,2022-11-24
226,Headset Gamer,Impressora,Lenovo,7547.76,458,2024-01-23
227,Fonte 650W,Gabinete,AMD,3302.55,68,2024-08-22
228,Impressora Laser,Headset,Samsung,12033.88,422,2024-12-12
229,Core i5,Teclado,Kingston,10562.42,39,2025-01-04
230,Headset Gamer,Monitor,AMD,4935.2,266,2024-07-01
231,Core i5,Headset,Lenovo,6812.42,262,2022-02-14
232,Memória 16GB,Processador,Dell,12250.47,cem,2022-05-22
233,Impressora Laser,Gabinete,Corsair,7091.63,146,2024-05-10
234,RTX 4060,Fonte,AOC,13372.18,229,2025-01-09
235,Ryzen 7,Teclado,AOC,12907.09,60,2022-01-08
236,Core i5,Teclado,HP,14677.79,237,2024-08-01
237,Notebook Office,Memória,Kingston,4149.23,479,2022-02-02
238,Notebook Office,Teclado,AMD,-100,304,2023-03-21
239,Webcam HD,Placa Mãe,Kingston,11645.43,71,2023-10-19
240,SSD 1TB,Notebooks,Corsair,13146.35,338,2024-05-24
241,Ryzen 7,Memória,Acer,722.32,176,2022-11-02
242,HD 2TB,Mouse,Redragon,2774.51,275,2024-08-06
243,RTX 4060,Teclado,Asus,8444.54,495,2022-06-11
244,Notebook Office,Fonte,Kingston,12710.06,47,2022-03-22
245,Teclado Mecânico,Webcam,Asus,2838.69,389,2023-09-13
246,Webcam HD,Placa de Vídeo,HP,249.7,479,2023-02-23
247,Core i5,SSD,Lenovo,3605.18,164,2024-01-07
248,Impressora Laser,Impressora,HP,7469.21,50,2024-01-30
249,SSD 1TB,Placa Mãe,Kingston,704.82,442,2024-05-05
250,Ryzen 5,Fonte,Asus,2958.95,117,2023-06-12
251,Mouse Sem Fio,HD,LG,7339.54,370,2022-10-14
252,Notebook Office,Webcam,AOC,7334.98,469,2022-06-02
253,SSD 240GB,Notebooks,Dell,R$500,391,2023-03-24
254,Ryzen 5,Notebook,Dell,5610.55,316,2024-12-25
255,HD 2TB,hd,Redragon,197.53,271,2023-01-03
256,SSD 1TB,SSD,Redragon,1462.78,76,31/02/2025
257,Gabinete RGB,Monitor,Corsair,6895.79,124,2022-03-06
258,Headset Gamer,Placa de Vídeo,AOC,5701.38,282,2024-06-07
259,Ryzen 7,Teclado,HP,4982.43,500,2025-03-06
260,Core i5,Notebook,LG,717.5,38,10-07-2023
261,Monitor 24,Placa Mãe,HP,8813.8,385,2025-03-06
262,Webcam HD,Gabinete,Logitech,5849.57,459,2022-06-10
263,Monitor 24,Headset,Kingston,14615.36,27,2024-03-23
264,Ryzen 5,Processador,Acer,4909.12,324,2024-06-03
265,SSD 240GB,Monitor,Lenovo,8796.41,194,2022-11-12
266,Monitor 27,SSD,Intel,11762.68,78,2024-01-08
267,Core i5,Monitor,Dell,1551.43,44,2022-07-03
268,Notebook Gamer,Memória,Redragon,1414.1,306,2022-06-23
269,Gabinete RGB,Mouse,Lenovo,8401.86,500,2023-09-09
270,Ryzen 5,HD,Lenovo,2206.1,85,2023-05-21
271,HD 2TB,hd,Asus,7447.12,315,2024-02-18
272,Fonte 750W,Mouse,Lenovo,4956.53,171,2023-10-19
273,Memória 8GB,Gabinete,Corsair,10435.48,245,2024-10-02
274,RTX 4060,Impressora,Kingston,11733.98,166,2023-02-14
275,RX 7600,Teclado,Intel,8193.52,,2023-08-20
276,Ryzen 5,SSD,HP,1056.0,434,2023-06-02
277,Fonte 650W,Memória,AMD,10734.24,404,2024-11-03
278,Memória 16GB,Headset,AMD,13047.11,214,2022-06-24
279,Notebook Office,Fonte,Corsair,3738.5,340,2024-03-29
280,SSD 240GB,Processador,AMD,4987.32,cem,2025-04-03
281,Core i7,Mouse,Asus,3331.06,191,2022-02-20
282,Webcam HD,SSD,Asus,4445.57,471,2024-07-21
283,Headset Gamer,Monitor,Lenovo,7826.3,178,2022-04-02
284,Mouse Sem Fio,Gabinete,HP,1743.98,434,2024-11-22
285,RTX 4060,Mouse,Corsair,2418.83,286,2024-06-04
286,RTX 4060,,HP,11066.08,452,2023-07-25
287,Core i5,HD,HP,12134.77,32,2024-07-26
288,Fonte 650W,Memória,Kingston,10067.11,250,2022-08-22
289,HD 2TB,Placa Mãe,Samsung,12685.86,316,2022-10-02
290,Ryzen 7,Placa Mãe,LG,3593.82,59,2025-03-23
291,Mouse Sem Fio,Placa de Vídeo,Lenovo,2802.59,325,2022-10-15
292,Ryzen 5,Webcam,Acer,mil,317,2025-02-24
293,RX 7600,Monitor,Kingston,7434.65,350,2022-03-05
294,Mouse Sem Fio,Placa Mãe,Logitech,3323.53,16,2024-10-11
295,Memória 16GB,Headset,Dell,1715.9,58,2024-06-22
296,SSD 240GB,Notebook,Intel,14846.84,52,2023-06-23
297,SSD 240GB,Gabinete,Kingston,12254.59,224,2023-12-20
298,Teclado Mecânico,Headset,Dell,9161.72,219,2025-03-13
299,HD 2TB,SSD,AOC,4230.65,275,2024-11-19
300,RTX 4070,SSD,AOC,10195.9,48,2022-09-17
301,Impressora Laser,Memória,Intel,2007.71,74,2022-10-19
302,RTX 4060,SSD,Logitech,4045.38,-10,2024-01-26
303,RX 7600,Gabinete,Asus,-100,297,2022-05-10
304,SSD 1TB,SSD,Asus,5977.78,495,2025-01-25
305,Impressora Laser,NOTEBOOK,Corsair,8500.81,248,07-30-2024
306,Headset Gamer,Impressora,Corsair,6630.46,0,2023-09-11
307,Monitor 24,Impressora,Corsair,13992.23,140,2022/12/05
308,Headset Gamer,Teclado,Intel,10895.31,386,2022-06-09
309,Monitor 27,Memória,Logitech,3408.34,cem,2022-09-28
310,Memória 8GB,SSD,LG,3449.62,45,2024-02-23
311,Monitor 24,Notebook,Kingston,11302.3,68,2022-12-03
312,Fonte 650W,Webcam,HP,10842.03,321,2022-06-27
313,RTX 4070,Mouse,HP,2117.4,63,2023-07-22
314,Impressora Laser,Notebook,AOC,3737.54,307,2023-09-10
315,Notebook Office,Headset,HP,9111.76,96,2024-10-10
316,Notebook Gamer,Impressora,Asus,3631.4,326,2022-09-28
317,Impressora Laser,Headset,Samsung,12587.82,215,2022-02-04
318,RTX 4060,Fonte,Logitech,-100,110,2024-10-23
319,Fonte 650W,Monitor,Lenovo,6365.16,205,2022-06-11
320,Core i7,Webcam,Corsair,3063.9,413,2022-05-16
321,RTX 4070,Placa Mãe,Kingston,6573.54,-10,2022-04-23
322,Headset Gamer,Placa video,Asus,11130.57,-10,2024-12-07
323,Impressora Laser,Gabinete,Samsung,12341.15,132,2022-03-02
324,Ryzen 7,Placa de Vídeo,AOC,-100,268,2025-03-06
325,Webcam HD,Gabinete,AMD,2376.5,395,06/01/2022
326,Mouse Sem Fio,Webcam,Dell,3683.38,241,2025-02-06
327,RTX 4070,HD,Lenovo,10716.03,335,2022-06-09
328,Ryzen 7,Memória,Samsung,1808.63,344,2024-08-10
329,Notebook Gamer,SSD,Kingston,11607.44,159,2023-09-15
330,Impressora Laser,Gabinete,AMD,3653.91,188,2023-05-18
331,Headset Gamer,HD,Dell,13987.32,12,2024-02-10
332,RTX 4070,Notebook,LG,10913.68,53,2023-07-28
333,Memória 16GB,Gabinete,Samsung,13820.69,459,2025-04-04
334,Notebook Office,Mouse,HP,2020.04,419,2023-08-21
335,Memória 8GB,SSD,HP,4738.83,410,2022-06-02
336,Mouse Sem Fio,HD,Acer,2058.96,394,2022-09-05
337,Monitor 27,Headset,Corsair,14470.23,106,2023-09-16
338,Mouse Gamer,Teclado,Asus,10459.23,20,2024-03-22
339,RTX 4060,Processador,Logitech,10164.21,133,2025-01-31
340,Notebook Office,Teclado,LG,6941.41,411,2023-02-10
341,Core i7,Webcam,Samsung,5596.15,322,2022-02-14
342,Memória 8GB,Placa de Vídeo,Dell,2982.3,330,2022-12-11
343,RTX 4070,Teclado,LG,6508.68,,2023-07-18
344,Fonte 750W,Memória,AMD,13253.69,17,2024/09/08
345,Ryzen 7,Headset,AMD,5757.57,214,2022-02-09
346,Memória 16GB,Processador,Asus,11733.1,183,2024-03-06
347,Impressora Laser,Headset,Intel,410.42,305,2024-12-20
348,Gabinete RGB,Processador,AOC,8768.15,119,2022-04-25
349,Memória 16GB,Webcam,LG,14218.08,294,2022-12-27
350,Notebook Gamer,HD,Kingston,4783.71,377,2025-02-28
351,Ryzen 5,Mouse,Intel,14226.56,428,2022-03-19
352,Teclado Mecânico,HD,Logitech,,,2022-12-30
353,Mouse Gamer,Webcam,AMD,R$500,165,2024-01-18
354,Memória 8GB,Mouse,LG,5616.39,482,2024-06-13
355,Core i5,Impressora,Kingston,14410.72,332,2024-01-01
356,HD 2TB,Gabinete,Dell,8842.47,89,2025-03-19
357,Memória 8GB,Placa Mãe,HP,14914.36,494,2025-03-04
358,Memória 8GB,Impressora,Samsung,7452.85,169,2023-11-19
359,Monitor 27,Notebook,Acer,3992.88,127,2024-06-16
360,Memória 16GB,Monitor,AOC,14537.15,452,2024-09-08
361,Monitor 24,Notebook,Lenovo,8679.27,388,2022-02-11
362,Mouse Sem Fio,Processador,Samsung,14275.9,37,2023-11-24
363,Fonte 750W,Impressora,Acer,9212.4,247,2022/11/18
364,Webcam HD,Fonte,Lenovo,3099.15,97,2023-09-02
365,Notebook Office,Memória,Samsung,763.54,292,2023-08-27
366,Fonte 750W,Monitor,Intel,9383.86,-10,2022-08-25
367,Fonte 750W,Mouse,Asus,5974.06,250,2024-02-21
368,SSD 1TB,Mouse,Redragon,6697.71,134,2022-07-18
369,SSD 240GB,Webcam,Acer,5169.99,277,2024-12-06
370,SSD 240GB,Monitor,Acer,8042.01,443,2022-03-13
371,Mouse Gamer,Headset,Intel,13508.82,409,2022-12-21
372,RTX 4070,hd,HP,2524.13,108,2022-10-30
373,Monitor 24,Memória,AMD,3883.14,466,2023-10-30
374,Fonte 650W,Headset,Acer,7804.93,469,2022-08-19
375,Monitor 27,Placa Mãe,Redragon,2240.03,301,2022-07-26
376,RTX 4060,Placa Mãe,Kingston,13014.78,450,2024/08/26
377,Notebook Office,Impressora,Asus,6056.55,316,31/02/2025
378,HD 2TB,Webcam,Intel,13814.11,459,2022-07-21
379,Memória 8GB,Memória,Kingston,3434.8,153,2022-07-02
380,Ryzen 7,Webcam,Dell,3186.63,421,2024-11-21
381,Ryzen 7,Notebook,LG,1002.94,363,2023-01-30
382,Memória 16GB,SSD,Asus,3026.89,29,2024-08-08
383,Ryzen 5,Mouse,AOC,9538.44,63,2024-08-29
384,Headset Gamer,Notebook,Acer,5259.4,83,2022-04-12
385,SSD 240GB,SSD,Corsair,8592.43,494,2024-04-18
386,Fonte 750W,Headset,Dell,12972.16,-10,2023-04-04
387,SSD 1TB,Memória,AOC,12080.18,156,2023-12-16
388,RTX 4060,Notebook,AMD,3288.77,154,2024-02-06
389,Monitor 24,SSD,Corsair,8914.71,144,2023-10-28
390,Teclado Mecânico,Headset,HP,3931.98,364,2022-04-27
391,Mouse Gamer,Fonte,Intel,12039.41,307,2023-08-29
392,Core i7,HD,Logitech,6290.11,198,2023-04-01
393,Ryzen 7,Mouse,AOC,9581.94,243,2025-02-17
394,Core i5,Mouse,Corsair,1482.09,65,2023-11-19
395,Memória 8GB,Placa Mãe,Lenovo,3349.36,114,2024-08-07
396,Fonte 650W,,AMD,7068.64,443,2022-09-03
397,Mouse Gamer,Teclado,Asus,5737.4,152,2024-04-18
398,Mouse Sem Fio,Placa de Vídeo,Asus,13394.82,234,2022-12-29
399,Mouse Sem Fio,Mouse,Intel,889.04,231,2022-06-30
400,RTX 4060,,Logitech,6517.0,219,2024-02-04
401,Gabinete RGB,,HP,13382.26,387,2023-12-07
402,Notebook Office,SSD,Intel,1558.57,257,2024-12-01
403,Ryzen 5,Teclado,LG,5080.77,454,04-06-2024
404,Mouse Sem Fio,Gabinete,Corsair,10912.99,,2022-03-18
405,Gabinete RGB,Webcam,Dell,9612.01,-10,2022-04-09
406,Headset Gamer,Gabinete,Corsair,6263.3,194,2022-01-20
407,Headset Gamer,Webcam,Samsung,9931.74,339,2024-11-13
408,Fonte 650W,SSD,AOC,1783.66,58,2024-12-07
409,Teclado Mecânico,Placa de Vídeo,Asus,5381.67,cem,26/04/2023
410,Monitor 24,Monitor,Logitech,13605.06,427,2022-07-27
411,RX 7600,Notebooks,AOC,9672.17,233,2022-03-22
412,Monitor 27,Impressora,Dell,5416.02,346,2022-01-20
413,Fonte 650W,Gabinete,Samsung,9957.06,87,2024-02-03
414,RTX 4060,Placa de Vídeo,Redragon,2759.38,205,2024-05-13
415,Mouse Sem Fio,Impressora,Kingston,11957.71,57,2024-09-15
416,Fonte 650W,Notebooks,Intel,10182.33,92,2024-09-26
417,Ryzen 7,Placa Mãe,Logitech,mil,,2025-03-03
418,Headset Gamer,Memória,Corsair,14337.31,447,2023-05-25
419,Core i5,Placa Mãe,Dell,9962.39,328,2022-01-24
420,Mouse Sem Fio,Placa video,Asus,2370.77,434,2023-05-09
421,RTX 4060,Monitor,Intel,4186.79,259,2024-06-28
422,Ryzen 5,Notebook,Samsung,6732.52,438,2024-04-06
