pagamento_id,pedido_id,forma_pagamento,parcelas,bandeira_cartao,valor_pago,status,data_pagamento
72,1875,Cartão,7,Hipercard,6784.29,PAGO,29/08/2024
73,1528,Dinheiro,2,,11173.94,PENDENTE,2022-04-16
74,9838,Boleto,6,,1571.94,ESTORNADO,2024-05-28
75,10560,PIX,10,,13937.68,Pendente,2022-03-04
76,8692,Cartão,7,Mastercard,6309.09,PENDENTE,2022-06-17
77,6948,Dinheiro,,,6641.82,PENDENTE,2024-03-20
78,898,PIX,4,,4535.26,PAGO,2025-02-18
79,11887,PIX ,,,12929.23,PAGO,2023-10-28
80,7539,Boleto,-5,,6561.94,PAGO,2024-12-22
81,5725,Boleto,12,,14374.19,ESTORNADO,2024-10-08
82,9237,Dinheiro,11,,mil,ESTORNADO,2022-06-01
83,7405,PIX,1,,5543.69,PENDENTE,2022-03-26
84,9367,Cartão,,Mastercard,9082.99,ESTORNADO,2024-06-15
85,8587,Cartão,6,Hipercard,5605.32,PENDENTE,2023-08-05
86,9875,Cartão,6,Mastercard,1240.9,ESTORNADO,2023-11-04
87,10633,PIX,11,,10063.43,ESTORNADO,2022-07-27
88,8844,PIX,,,5064.73,ESTORNADO,2024-01-17
89,3892,Dinheiro,10,,4288.22,ESTORNADO,2024-06-21
90,4617,Dinheiro,9,,7921.35,PAGO,2022-09-13
91,2627,Boleto,8,,13581.49,PAGO,2024-03-01
92,6143,Cartão,1,,4793.9,PAGO,2024-07-07
93,1299,PIX,5,,mil,PAGO,2024-10-20
94,270,Cartão,12,Visa,2170.78,PENDENTE,2024-11-05
95,8317,PIX,0,,13102.5,PAGO,2023-11-12
96,5773,Boleto,11,,,ESTORNADO,2023-02-13
97,5171,Boleto,9,,5985.4,ESTORNADO,2024-01-24
98,6554,Dinheiro,7,,5098.77,PAGO,2023-01-05
99,5263,PIX,2,,4932.24,PENDENTE,2024-06-09
100,940,PIX,11,,9569.94,Pago,03-07-2025
101,7372,Boleto,6,,6670.21,PAGO,2025-02-24
102,4265,Dinheiro,-1,,14945.55,PENDENTE,2023-10-17
103,1064,Boleto,5,,,ESTORNADO,2024-01-26
104,9039,Cartão,10,Elo,13266.01,PAGO,2022-06-01
105,8477,Boleto,3,,13171.84,ESTORNADO,2023-04-07
106,8502,Boleto,2,,3774.07,ESTORNADO,2023-11-23
107,9235,PIX,1,,1236.72,ESTORNADO,2024-09-16
108,6654,Boleto,8,,1113.14,PAGO,2024-03-27
109,6071,PIX,doze,,3641.23,PAGO,2025-03-29
110,3111,Cartão,,Hipercard,14939.62,PENDENTE,2023-07-31
111,7711,Boleto,9,,142.5,Pago,2022-05-31
112,7379,Boleto,10,,10212.37,PAGO,21/10/2024
113,2246,Boleto,8,,7799.6,PAGO,2024-12-26
114,9223,Boleto,8,,,PENDENTE,2025-03-30
115,842,Dinheiro,0,,7873.0,ESTORNADO,2024-10-24
116,7727,PIX,12,,2088.48,PAGO,2023-06-26
117,3151,Cartão,5,Elo,8380.14,PAGO,2023-08-13
118,11957,Dinheiro,7,,12279.29,PAGO,2025-02-25
119,11854,PIX,10,,mil,PAGO,2025-02-01
120,2588,Dinheiro,11,,14026.78,Pendente,2022-03-18
121,2869,Dinheiro,3,,14010.16,PAGO,2023-11-18
122,8902,Dinheiro,3,,12768.87,PENDENTE,2025-03-08
123,3165,Cartão,10,Hipercard,12845.07,PENDENTE,2023-04-28
124,4375,Boleto,5,,8745.26,ESTORNADO,2023-09-29
125,4834,Boleto,10,,3328.32,PAGO,2023-03-24
126,11156,PIX,9,,6712.28,ESTORNADO,2024-06-23
127,3366,Dinheiro,2,,,PENDENTE,2022-01-07
128,9476,pix,1,,6366.99,ESTORNADO,2024-05-10
129,6267,Dinheiro,,,5647.17,ESTORNADO,2022-02-16
130,7586,Dinheiro,9,,5701.56,PAGO,2022-02-02
131,1103,Pixx,10,,522.97,ESTORNADO,2025-03-25
132,9797,Boleto,4,,4540.43,PAGO,2022-04-07
133,6245,Boleto,12,,6256.54,PAGO,2025-02-25
134,6825,Cartão,7,Elo,3658.02,PAGO,2022-03-22
135,3083,Pix,8,Elo,3149.16,PENDENTE,2023-02-23
136,3922,Boleto,5,,5722.31,ESTORNADO,2023-02-21
137,11134,PIX,10,,12963.99,ESTORNADO,2024-10-19
138,5531,Boleto,8,,14498.29,ESTORNADO,2022-05-01
139,10310,,1,,,ESTORNADO,99/99/9999
140,4502,Boleto,1,,7543.2,ESTORNADO,2023-07-02
141,1295,Boleto,7,,6895.79,PAGO,01/09/2024
142,2808,PIX,8,,12683.04,pago,10/07/2023
143,4594,PIX,3,,13932.92,PENDENTE,2024-03-07
144,8857,Boleto,doze,,11339.03,,2023/10/31
145,7382,Dinheiro,4,,5350.05,PENDENTE,2024-02-18
146,2528,Dinheiro,6,,5423.29,PAGO,2022/07/31
147,10848,PIX,10,,8978.7,PENDENTE,2024-02-19
148,4406,Boleto,5,,R$500,PAGO,2024-07-26
149,4992,PIX,7,,4996.61,ESTORNADO,2023-02-16
150,2911,Dinheiro,6,,4385.89,ESTORNADO,2025-01-22
151,9013,PIX,12,,6935.1,ESTORNADO,2023-05-11
152,2526,Dinheiro,7,,1128.0,ESTORNADO,2025-01-04
153,1393,Cartao,,,9870.87,PENDENTE,2023-06-14
154,8500,Cartão,8,,-500,PENDENTE,2022-10-18
155,5621,Dinheiro,4,,-500,PENDENTE,2022-12-03
156,3997,Cartão,9,Hipercard,,ESTORNADO,2023-02-09
157,7038,Dinheiro,0,,10576.94,PAGO,2024-09-29
158,5135,Dinheiro,10,,5900.31,PAGO,2023-10-04
159,5004,PIX,3,,5612.12,PAGO,2025-02-10
160,10736,Cartão,3,American Express,4732.41,PENDENTE,2024-10-04
161,7273,Dinheiro,3,,1258.41,PAGO,2022-08-20
162,4390,Boleto,9,,12342.71,PAGO,2023-12-15
163,1426,Dinheiro,2,,11638.96,PAGO,2023-02-28
164,9341,Boleto,9,,4230.65,ESTORNADO,2024-04-22
165,4544,Cartão,12,Mastercard,12993.86,PAGO,14/07/2024
166,6601,Boleto,0,,14046.31,PENDENTE,2024-12-30
167,7040,Cartão,8,Elo,,PENDENTE,07-30-2024
168,7231,Dinheiro,1,,14877.74,PENDENTE,2022-06-18
169,2712,PIX,,,9391.55,,2023-12-05
170,6920,Cartão,8,Visa,1081.01,PENDENTE,99/99/9999
171,139,Cartão,8,,5280.79,PAGO,2024-02-26
172,7036,Boleto,3,,3731.84,ESTORNADO,2023-02-25
173,8349,Cartão,12,Visa,5888.43,ESTORNADO,2022-01-25
174,5186,Cartão,7,,12914.99,ESTORNADO,2022-03-23
175,6521,Boleto,11,,10695.18,PENDENTE,2022-11-15
176,10177,PIX,5,,10486.16,Estornado,2022-10-09
177,2685,Dinheiro,6,,,ESTORNADO,2023-07-12
178,4309,PIX,8,,6838.86,PENDENTE,08/11/2024
179,4007,PIX,8,,5472.37,PAGO,2023-10-18
180,1277,Boleto,doze,,mil,PAGO,07-24-2024
181,4778,Boleto,,,9348.31,PENDENTE,99/99/9999
182,5676,PIX,6,,41.9,ESTORNADO,2023-07-28
183,3793,Dinheiro,12,,13435.76,PENDENTE,2023-08-21
184,5162,Dinheiro,12,,12481.86,PENDENTE,2023-10-06
185,8781,Boleto,4,,6789.72,PENDENTE,2022-10-31
186,4067,Boleto,doze,,7711.63,ESTORNADO,2022-10-14
187,1011,Cartão,3,Elo,2988.03,PENDENTE,2024-06-27
188,1507,Boleto,2,,659.59,Estornado,2023-07-18
189,2436,PIX,10,,9295.26,PAGO,2023-05-26
190,8908,PIX,7,,11733.1,PENDENTE,31/02/2025
191,8675,Boleto,10,,14994.09,PAGO,2024-03-06
192,2847,Cartão,4,,8895.94,ESTORNADO,2024-10-05
193,10979,,1,,1372.06,PAGO,2022-02-14
194,2321,PIX,9,,12912.83,PAGO,2024-09-24
195,2855,Boleto,4,,9989.66,PAGO,99/99/9999
196,5214,PIX ,11,Mastercard,8491.94,PENDENTE,2023-11-19
197,4346,Cartão,doze,Elo,10403.78,PENDENTE,2025-01-23
198,10535,Cartão,-1,Elo,6780.29,PAGO,2023-11-24
199,7910,PIX,7,,14137.79,PAGO,2023-07-31
200,10008,PIX,7,,,PENDENTE,2023-08-21
201,7759,PIX,,,11777.45,PENDENTE,2024-06-19
202,3707,Boleto,10,,943.36,ESTORNADO,2024-05-07
203,11170,Cartão,8,,4496.8,PENDENTE,2022-12-09
204,3158,Cartão,1,Hipercard,6362.16,ESTORNADO,2025-02-13
205,5344,Boleto,9,,6883.19,PAGO,2023-08-09
206,10565,Dinheiro,5,,5757.99,PENDENTE,2022-04-11
207,4401,Boleto,1,,5081.23,PENDENTE,2023-10-20
208,6829,PIX,4,,6636.91,PENDENTE,2024-12-09
209,475,Cartão,4,Visa,13130.2,PAGO,2022-09-11
210,3964,Boleto,8,,8918.77,PAGO,2022-11-30
211,3512,Cartão,11,Elo,3392.18,PAGO,2022-01-18
212,9968,Boleto,12,,14506.03,ESTORNADO,2022/07/29
213,9199,Boleto,5,,10272.51,PENDENTE,2024-11-25
214,931,Dinheiro,11,,4807.39,PAGO,2023-01-24
215,3644,Dinheiro,11,,5390.29,PENDENTE,2023-01-10
216,5500,PIX,4,,5342.15,ESTORNADO,2025-04-03
217,1167,Dinheiro,4,,7517.15,ESTORNADO,2024-07-26
218,2955,PIX ,8,,5002.79,PAGO,2022-09-23
219,10409,Dinheiro,,,,PENDENTE,2023-05-25
220,5642,Boleto,3,,1558.57,ESTORNADO,2022-10-02
221,8032,Boleto,4,,2489.95,PENDENTE,2022-03-18
222,4191,Cartao,10,,14920.31,ESTORNADO,2022-01-20
223,1655,Boleto,10,,9092.4,PAGO,2023-06-23
224,3305,Boleto,12,,6158.15,PAGO,2025-03-21
225,2444,PIX,9,,1144.22,ESTORNADO,2023-08-19
226,5124,Dinheiro,12,,1756.2,PAGO,2023-12-03
227,6567,Dinheiro,8,,4092.06,PENDENTE,2024-05-02
228,7909,Dinheiro,3,,9177.62,PENDENTE,2022-05-10
229,5149,PIX,12,,13027.62,ESTORNADO,2023-12-10
230,11914,Cartão,9,Visa,13383.09,ESTORNADO,07-24-2023
231,9020,Dinheiro,,,12260.21,PAGO,2024-04-06
232,9129,PIX,2,,11880.91,ESTORNADO,2023-11-11
233,9830,Dinheiro,12,,9864.36,ESTORNADO,08-06-2022
234,8068,Cartão,12,Visa,11142.81,PENDENTE,99/99/9999
235,2019,Cartao,doze,,9883.68,ESTORNADO,2025-03-30
236,2104,PIX,7,,9869.68,ESTORNADO,2024-07-16
237,2264,Dinheiro,10,,10506.21,ESTORNADO,2023-12-09
238,2174,Cartão,9,Elo,8146.52,ESTORNADO,2024-12-29
239,10116,PIX,9,,1614.93,PENDENTE,2023-08-28
240,8867,PIX,6,,12214.11,PAGO,2024-03-04
241,5123,PIX,1,,11160.18,PAGO,2023-02-01
242,2907,PIX,3,,14437.88,ESTORNADO,2022/11/14
243,9780,PIX,11,,9241.82,ESTORNADO,2024-10-31
244,8898,Dinheiro,2,,5254.06,PAGO,2022-08-23
245,7302,Cartão,11,Mastercard,9213.24,ESTORNADO,2024-11-24
246,6144,Dinheiro,8,,676.9,ESTORNADO,2023-03-13
247,6951,PIX,4,,8075.56,ESTORNADO,2023-05-31
248,9421,Cartão,5,,6126.34,Estornado,2022-05-29
249,8239,PIX,5,,11807.64,pago,2025-01-22
250,2361,boleto,11,,13306.93,,2023-03-07
251,5634,Cartão,7,Mastercard,13586.31,ESTORNADO,2025-01-29
252,9006,PIX,5,,10081.85,PENDENTE,2023-02-01
253,7384,Boleto,10,,9898.15,pago,2023-07-21
254,2201,Boleto,8,,6953.47,PENDENTE,2022-06-06
255,306,PIX,10,,8691.93,ESTORNADO,2023-08-19
256,8211,PIX,7,,5470.71,PAGO,2022-10-27
257,10757,Boleto,1,,3297.91,PENDENTE,2022-03-23
258,5310,PIX,12,,14527.25,ESTORNADO,2024-11-24
259,3652,Dinheiro,-1,,12262.21,PENDENTE,2022-11-19
260,1939,Cartão,7,,,ESTORNADO,2022-11-26
261,8400,PIX,10,,2220.04,PAGO,2022-06-25
262,9938,Dinheiro,8,,2575.09,PENDENTE,2022-05-21
263,6316,Cartão,2,American Express,268.11,ESTORNADO,2022-08-29
264,2136,,11,,9745.49,ESTORNADO,2025-03-25
265,2194,Boleto,8,,,PAGO,2023-10-09
266,1747,Cartão,7,Elo,9780.61,PENDENTE,2024-09-15
267,9161,Dinheiro,5,,14827.85,ESTORNADO,2022-07-25
268,6563,Boleto,0,,9218.1,ESTORNADO,2024-01-30
269,619,Dinheiro,7,,9217.2,ESTORNADO,2024-11-27
270,551,Pix,10,Elo,2558.85,PAGO,2022-02-01
271,1125,PIX,9,,,ESTORNADO,2024-11-02
272,1186,Boleto,6,,14206.29,ESTORNADO,2024-07-28
273,9615,PIX,,,1761.7,PAGO,2023-06-24
274,1524,Dinheiro,11,,11236.85,PENDENTE,2023-01-25
275,3272,Cartão,12,Mastercard,3646.01,PENDENTE,2024-10-05
276,8872,PIX,8,,5580.52,PENDENTE,2025-03-27
277,8614,Dinheiro,,,14096.02,PAGO,2023-03-08
278,1651,Boleto,6,,9199.42,PENDENTE,2024-02-02
279,6564,Boleto,8,,2714.74,PAGO,2024-08-26
280,2894,Dinheiro,8,,2034.39,ESTORNADO,2024-09-02
281,1578,Dinheiro,12,,-500,PENDENTE,2025-01-07
282,4664,Boleto,6,,10104.43,PENDENTE,2025-03-16
283,1169,PIX,3,,5167.51,PENDENTE,2024-12-02
284,6783,Cartão,3,,12816.09,PAGO,2024-08-27
285,432,Dinheiro,9,,11479.65,PAGO,2022-09-26
286,2796,PIX,1,,9959.97,PENDENTE,2024-07-24
287,9241,Dinheiro,,,9604.0,ESTORNADO,2024-12-07
288,2234,Boleto,doze,,7048.59,PAGO,2025-02-22
289,4095,Cartao,12,Hipercard,11062.03,PENDENTE,2024-12-25
290,6766,Cartão,2,,,PENDENTE,2023-01-16
291,4623,Boleto,3,,10733.64,ESTORNADO,2022-03-06
292,2394,PIX,5,,11639.28,Pendente,2023-05-22
293,550,Cartão,8,American Express,11035.14,PAGO,2025-01-30
294,4151,Dinheiro,11,,4496.22,PENDENTE,13/05/2023
295,9521,Dinheiro,12,,8951.26,PENDENTE,2022-11-12
296,1760,Cartão,8,,3505.47,ESTORNADO,2024-09-20
297,9160,Boleto,9,,10461.63,PAGO,2024-07-09
298,4315,Boleto,8,,30.78,ESTORNADO,2024-03-04
299,8152,Cartão,10,,0,PENDENTE,2022-03-07
300,10453,Dinheiro,-1,,9367.08,ESTORNADO,2024-01-10
301,6815,Boleto,12,,0,ESTORNADO,2023-01-24
302,4076,Cartão,9,,11242.93,PENDENTE,2024-04-02
303,2592,Dinheiro,6,,13539.22,ESTORNADO,2025-01-31
304,4163,Boleto,8,,6723.55,PENDENTE,2023/10/07
305,9072,Cartão,2,Mastercard,585.29,PENDENTE,2022-06-08
306,7906,Cartão,8,,12389.06,ESTORNADO,2023-11-16
307,7116,Dinheiro,,,,PAGO,2024-03-15
308,9751,PIX,4,,mil,PENDENTE,2022-10-04
309,3246,Dinheiro,7,,9790.68,PAGO,2023-01-26
310,9731,PIX,5,,2555.44,PENDENTE,2022-04-22
311,2420,Pix,1,,5162.21,PAGO,2022-10-17
312,302,Pix,10,,13592.48,Estornado,2024-01-08
313,313,Boleto,11,,5810.12,PENDENTE,2022-03-23
314,11402,Boleto,6,,7359.19,ESTORNADO,2024-03-03
315,483,Boleto,4,,2292.59,PENDENTE,2023-10-02
316,5396,Dinheiro,9,,1993.95,ESTORNADO,2022-10-25
317,9255,Cartão,6,,1035.85,ESTORNADO,2024-06-26
318,4486,Cartão,4,Visa,1619.44,PAGO,2024-09-03
319,9908,Dinheiro,12,,-500,PAGO,2023-02-20
320,1084,Cartão,8,,13009.59,Estornado,2025-03-17
321,8606,PIX,,,1657.56,Pagoo,2023-08-20
322,4990,Boleto,8,,2513.97,PENDENTE,2025-01-24
323,6776,Boleto,8,,393.18,PENDENTE,2024-07-09
324,1398,Dinheiro,12,,11870.18,ESTORNADO,2023-01-02
325,841,Dinheiro,5,,4656.58,PENDENTE,2025-01-18
326,9962,Dinheiro,4,,,ESTORNADO,2023-01-14
327,5719,PIX,3,,12810.36,ESTORNADO,2025-03-18
328,2907,Dinheiro,12,,8692.92,PAGO,2022-09-07
329,4497,Boleto,9,,6218.09,PAGO,2023-08-12
330,5186,Boleto,9,,8635.64,ESTORNADO,2023-08-18
331,26,PIX,1,,,PAGO,2023-07-31
332,1112,Boleto,5,,7610.21,PENDENTE,2024-09-08
333,583,Cartão,8,American Express,2347.69,,99/99/9999
334,5435,Boleto,2,,14544.81,PENDENTE,2023-09-24
335,5153,PIX,5,,,PENDENTE,2022-07-09
336,409,Dinheiro,9,,2328.09,PENDENTE,2022-09-29
337,11910,boleto,7,,10710.89,ESTORNADO,2023/10/02
338,3439,Boleto,4,,2904.33,PENDENTE,2025-01-16
339,5219,Boleto,3,,14150.3,Pago,2022-04-21
340,6422,Cartão,12,,8949.9,ESTORNADO,2024-08-11
341,1523,Dinheiro,2,,6844.65,ESTORNADO,2023-11-08
342,5321,Dinheiro,8,,473.36,PENDENTE,2022-08-08
343,1163,Boleto,9,,6925.4,pago,2024-06-10
344,5607,Cartão,3,,9945.93,PAGO,11/04/2024
345,9772,Dinheiro,6,,7424.54,ESTORNADO,2024-12-24
346,9469,Dinheiro,4,,3100.81,PENDENTE,2022-01-17
347,8363,Dinheiro,,,12790.53,PAGO,2024-03-18
348,6272,Dinheiro,7,,6539.15,PAGO,03/10/2022
349,2360,Dinheiro,11,,6562.29,PAGO,2024-05-18
350,7374,Dinheiro,6,,3401.6,PENDENTE,2025-03-09
351,6039,PIX,10,,7233.36,ESTORNADO,2022-07-01
352,1280,Boleto,10,,810.56,PENDENTE,2022-03-14
353,9792,Boleto,12,,,PENDENTE,2022-09-17
354,10229,Boleto,3,,9244.65,PENDENTE,2023-04-29
355,8641,PIX,6,,14761.39,PAGO,2023/12/08
356,1901,PIX,3,,6970.94,PENDENTE,31/02/2025
357,6259,Boleto,9,,10249.49,PAGO,2022-07-21
358,9572,Dinheiro,8,,11601.8,ESTORNADO,20/05/2022
359,8606,,11,,6700.21,PAGO,2022-09-03
360,9908,Cartão,7,American Express,9852.79,ESTORNADO,2023-07-21
361,5299,Boleto,-5,,11715.35,pago,2022-10-22
362,7066,pix,10,,9657.21,PENDENTE,2022-03-19
363,11450,Cartão,12,American Express,4960.87,PENDENTE,2022-01-07
364,7899,PIX,10,,8038.86,PENDENTE,2024-07-30
365,4751,Cartão,3,,8326.04,PENDENTE,14/10/2022
366,9715,Cartão,8,,5843.74,ESTORNADO,2022-03-29
367,3469,Dinheiro,-1,,13055.6,,2022-12-19
368,5036,PIX,8,,9176.16,ESTORNADO,2024-04-03
369,9437,Cartão,6,Visa,12549.68,PAGO,06/04/2025
370,11897,Cartão,1,Visa,13196.81,PAGO,2023-02-27
371,4440,Dinheiro,7,,3604.02,PAGO,2023-01-29
372,8687,PIX,10,,-500,ESTORNADO,2022-12-28
373,707,PIX,11,,5475.61,PAGO,2022-03-01
374,1902,PIX,4,,10826.62,ESTORNADO,2023-02-14
375,3616,PIX,8,,8784.68,PAGO,2023-02-19
376,526,PIX,5,,2064.79,PENDENTE,2025-03-29
377,3764,PIX,7,,12857.47,PENDENTE,2022-11-02
378,84,Dinheiro,1,,620.08,PENDENTE,2024-04-12
379,2175,Boleto,5,,3601.15,PAGO,2024-04-10
380,6069,Dinheiro,12,,9508.37,ESTORNADO,2023-03-01
381,1327,Boleto,12,,13985.0,ESTORNADO,2023-02-24
382,5488,Cartão,9,,1721.09,PENDENTE,2024-05-16
383,1039,Boleto,6,,6797.11,ESTORNADO,2022-05-15
384,7502,Pix,2,,5872.42,PAGO,2023-08-24
385,8871,Cartão,-1,,5213.57,PENDENTE,2023-10-31
386,8687,Dinheiro,8,,4575.15,PAGO,2022-12-07
387,2635,Boleto,3,,14598.63,ESTORNADO,2023-10-12
388,2424,Pixx,8,,8107.2,PAGO,2024-11-05
389,4843,Dinheiro,5,,,ESTORNADO,2022-08-28
390,6581,Cartão,8,Visa,5373.76,PENDENTE,2022-06-28
391,6463,Cartão,8,American Express,4780.01,ESTORNADO,2023-12-21
392,7301,PIX,4,,10923.24,PENDENTE,2022-06-26
393,4969,Dinheiro,9,,14799.84,PAGO,2023-01-16
394,4743,Dinheiro,1,,12345.53,PENDENTE,2022-09-12
395,11567,Dinheiro,3,,R$500,ESTORNADO,2024-09-01
396,1960,PIX ,9,,10999.7,PAGO,2023/12/31
397,8678,PIX,9,,2923.35,ESTORNADO,2024-01-13
398,9504,Boleto,3,,213.21,ESTORNADO,2025-02-18
399,8613,PIX,7,,6918.16,PAGO,2023-12-02
400,4992,PIX,12,,12222.32,PAGO,31/02/2025
401,7066,PIX,-5,,1635.1,ESTORNADO,2023-02-14
402,5760,PIX,2,,2200.44,ESTORNADO,2025-03-30
403,8665,Cartão,12,Mastercard,2889.38,PENDENTE,2023-01-15
404,1759,Cartão,6,Mastercard,14719.89,PENDENTE,2023-08-14
405,666,PIX,6,,7415.82,PENDENTE,2022-05-23
406,7794,Boleto,3,,211.53,ESTORNADO,12-12-2022
407,5549,Cartão,10,Visa,12663.56,PENDENTE,2024-03-30
408,9883,Dinheiro,8,,7680.99,PAGO,2022-02-24
409,6270,Boleto,3,,4555.23,ESTORNADO,2025-01-15
410,8857,PIX,1,,0,PAGO,2024-10-03
411,5120,Dinheiro,8,,11464.89,ESTORNADO,2024-02-13
412,5780,Boleto,6,,940.13,ESTORNADO,2024-01-02
413,925,Cartão,4,American Express,,PENDENTE,2024-05-15
414,6901,Boleto,1,,10445.46,ESTORNADO,2024-10-26
415,5564,Cartão,10,Mastercard,,PENDENTE,2024-04-03
416,1507,PIX,-5,,5065.83,PAGO,2023-05-30
417,7426,Cartão,1,Mastercard,9425.1,ESTORNADO,2024-06-07
418,982,Cartão,6,Mastercard,6948.05,PAGO,2023-07-01
419,2632,Boleto,11,,9026.46,PENDENTE,2022-03-17
420,4469,Cartão,doze,,3890.78,Pago,2024-04-13
421,1480,Dinheiro,12,,12644.4,PAGO,2022-07-04
422,2004,Boleto,6,,12488.37,ESTORNADO,2022-04-25
423,6140,PIX,6,,,PENDENTE,2022-03-13
424,896,Cartão,5,,8299.86,PENDENTE,2024-03-15
425,4187,Boleto,,,14046.11,PAGO,2022-06-14
426,8056,Dinheiro,12,,6206.16,PENDENTE,2023-11-01
427,449,PIX,11,,9631.06,ESTORNADO,2022-09-24
428,6723,Boleto,8,,7185.91,ESTORNADO,2025-03-14
429,377,Cartão,2,Elo,14612.43,PAGO,99/99/9999
430,7130,Dinheiro,11,,7422.35,PAGO,2023-08-03
431,3103,Dinheiro,,,6139.69,PAGO,2022-09-30
432,6514,,-5,,5764.76,PENDENTE,99/99/9999
433,6242,Boleto,7,,10075.51,PAGO,2022-10-18
434,5133,PIX,3,,7498.18,PENDENTE,2023-10-09
435,8050,Pix,-1,,R$500,ESTORNADO,2024/10/10
436,9190,Dinheiro,8,,7404.97,ESTORNADO,2025-04-14
