pedido_id,cliente_id,produto_id,quantidade,preco_unitario,desconto,frete,valor_total,status,data_pedido
51,939,285,3,14954.24,0.13,123.99,39154.56,ENVIADO,2023-08-14
52,411,834,9,569.72,,45.34,5019.0,PAGO,2023-01-20
53,638,775,8,9388.62,0.23,38.5,57872.4,PENDENTE,2022-11-21
54,15,566,7,1416.27,0.3,137.81,7077.53,ENVIADO,2024-08-25
55,565,1396,7,2875.34,0.18,114.48,16618.93,CANCELADO,2023-09-04
56,594,676,8,12981.6,0.13,77.81,90429.75,ENVIADO,2023-04-24
57,421,45,6,11175.68,0.21,,53096.32,CANCELADO,2022-07-25
58,451,103,-5,13658.42,0.0,30.18,122955.96,ENVIADO,2023-10-11
59,909,778,8,13088.3,0.01,19.58,103678.92,PAGO,2024-06-27
60,307,926,1,708.94,0.24,51.07,589.86,Cancelado,2024-02-23
61,247,1412,10,2163.9,0.14,45.56,18655.1,CANCELADO,2024-05-18
62,468,866,5,3004.27,0.12,77.65,13296.44,CANCELADO,2022-01-17
63,703,797,1,13661.04,0.22,126.6,10782.21,PENDENTE,2022-07-18
64,662,41,5,11833.39,0.01,61.08,58636.36,CANCELADO,2024-12-23
65,280,851,3,3869.41,0.25,77.46,8783.63,ENVIADO,2025-02-15
66,810,405,1,3981.59,0.04,61.6,3883.93,CANCELADO,2023-03-30
67,651,844,8,13642.63,0.09,67.16,99385.51,ENVIADO,2024-01-30
68,761,714,9,6298.52,0.22,,44247.24,ENVIADO,2024-06-29
69,876,1142,2,14714.3,0.11,136.24,26327.69,PAGO,2022-04-14
70,250,129,10,3093.98,0.25,87.59,23292.44,PENDENTE,2022-09-24
71,818,179,2,9922.64,0.01,12.08,19658.91,PAGO,2024-09-02
72,1402,526,10,1653.63,0.15,,14198.22,ENVIADO,2024-05-23
73,1141,730,8,1120.89,0.02,95.16,8882.94,ENVIADO,2022-07-23
74,118,874,9,10818.18,0.06,73.22,91595.02,CANCELADO,2022-11-09
75,486,69,2,12479.94,0.03,23.52,24234.6,CANCELADO,2024-05-16
76,739,53,5,9014.14,0.11,90.91,40203.83,PENDENTE,2024-05-28
77,998,786,10,9211.33,0.19,13.68,74625.45,PAGO,2023-01-07
78,580,674,7,1062.39,0.22,146.05,5946.7,PAGO,2022-04-18
79,773,633,1,10116.05,0.08,102.67,9409.44,ENVIADO,2024-12-15
80,47,226,7,14767.0,0.02,38.62,101340.24,PENDENTE,2024-02-18
81,236,1010,9,12503.65,0.24,20.09,R$500,ENVIADO,2023-08-16
82,22,990,6,2594.66,0.28,74.41,11283.34,Cancelado,2023-09-28
83,227,342,3,1164.16,0.19,84.28,2913.19,CANCELADO,2023-02-09
84,157,779,2,2673.65,0.23,79.18,4196.6,CANCELADO,2022-11-06
85,1237,453,-5,11949.02,0.18,59.27,-500,PAGO,2024-07-10
86,1053,668,4,4836.47,0.14,31.12,16668.58,ENVIADO,2024-06-15
87,537,536,10,2398.02,0.11,49.61,21391.99,ENVIADO,2023-08-05
88,873,673,10,13101.73,0.1,91.58,118007.15,CANCELADO,2025-02-18
89,811,337,3,10058.34,0.25,113.43,22744.69,PENDENTE,2023-12-01
90,498,197,4,14999.65,0.05,51.41,57050.08,PENDENTE,2024-02-11
91,186,852,10,12139.47,0.05,71.27,115396.24,PENDENTE,2023-09-26
92,804,481,4,5530.26,0.28,147.82,16074.97,PENDENTE,31/02/2025
93,896,381,9,14015.72,0.21,82.23,99734.0,PENDENTE,2024-07-12
94,953,28,0,817.79,0.15,43.01,4908.86,CANCELADO,2024-08-25
95,143,778,8,6740.05,0.0,21.09,53941.49,CANCELADO,31/02/2025
96,655,1264,10,6867.56,0.03,,66752.05,ENVIADO,2023-01-19
97,88,537,6,1033.84,0.16,81.03,5291.58,PAGO,2024-01-02
98,1280,247,2,11577.09,0.22,56.55,18116.81,PENDENTE,31/02/2025
99,38,301,4,676.22,0.06,15.87,2558.46,CANCELADO,2022-04-08
100,340,280,2,11994.15,0.13,66.0,20935.82,CANCELADO,2022-06-19
101,81,441,10,14926.57,0.05,51.13,141853.55,ENVIADO,2022-03-28
102,934,1327,10,14972.3,0.08,147.2,137892.36,Cancelado,16/06/2024
103,242,798,6,5445.02,0.28,14.53,23537.02,CANCELADO,2023-07-25
104,117,27,3,7495.68,0.12,88.63,19877.23,PAGO,2022-10-05
105,463,177,8,14958.99,0.24,145.46,91096.12,PENDENTE,2024-01-11
106,125,206,3,3566.31,0.15,60.53,9154.62,ENVIADO,2024-12-12
107,420,844,10,1124.79,0.29,99.93,8085.94,PENDENTE,2024-06-05
108,890,57,2,7781.17,0.09,32.68,14194.41,CANCELADO,2022-09-14
109,630,547,2,7548.55,0.05,141.82,14484.06,PAGO,99/99/9999
110,272,667,4,11509.05,0.12,99.46,40611.32,CANCELADO,17/07/2024
111,162,451,7,7274.08,0.06,94.93,47958.38,PAGO,2023-10-16
112,126,274,8,3733.82,0.03,50.63,29025.07,CANCELADO,2023-01-24
113,511,528,8,7491.42,0.09,13.24,54550.78,ENVIADO,2023-08-09
114,868,1027,7,2026.35,0.08,61.21,13110.9,CANCELADO,2022-09-01
115,100,404,6,11927.56,,141.45,64550.27,ENVIADO,2024-11-29
116,621,915,9,2113.92,0.28,54.59,13752.79,CANCELADO,2024-08-30
117,378,340,dez,14698.87,0.18,121.55,24227.7,PENDENTE,2022-04-16
118,175,537,10,11623.6,0.11,125.03,103575.07,PENDENTE,2024-04-20
119,627,943,8,13094.81,0.22,18.72,81730.33,CANCELADO,2025-01-23
120,791,889,5,9158.95,0.06,44.51,43091.57,CANCELADO,2024-09-09
121,957,957,5,4331.08,0.17,,18060.03,PAGO,2023-12-11
122,672,263,8,3225.52,0.25,47.96,19401.08,PENDENTE,31/02/2025
123,339,735,8,1526.16,0.23,10.73,9411.88,CANCELADO,2023-10-20
124,61,1472,2,9791.43,0.07,113.42,18325.48,ENVIADO,2024-10-11
125,767,986,5,13153.61,0.0,89.51,65857.56,ENVIADO,2023-07-13
126,1173,339,3,10972.17,0.19,110.6,26772.97,ENVIADO,2024-11-21
127,411,686,2,2788.02,0.04,55.3,5408.3,PAGO,2023-06-20
128,710,242,1,10023.44,0.14,32.36,8652.52,CANCELADO,2023-03-29
129,137,490,3,6835.58,0.3,62.31,14417.03,PAGO,2024-12-12
130,721,371,2,13760.33,0.03,126.03,26821.07,ENVIADO,2022-07-06
131,1237,829,1,6812.42,0.15,73.95,R$500,PAGO,2024-05-17
132,1210,555,1,14020.05,0.02,140.73,13880.38,ENVIADO,2024-07-07
133,929,387,7,1222.14,0.29,132.44,6206.48,PAGO,2022-02-16
134,475,690,9,6373.44,0.11,,51093.4,PAGO,2023-05-08
135,104,1225,1,6707.69,0.2,132.11,5498.26,CANCELADO,2023-04-25
136,750,590,6,8670.57,0.23,124.57,40182.6,PENDENTE,2024-05-24
137,49,996,6,14124.96,0.2,120.01,67919.82,CANCELADO,2022-10-23
138,937,60,9,6201.91,0.12,84.2,mil,PENDENTE,2022-04-16
139,690,620,10,612.42,0.02,122.65,6124.37,PENDENTE,2023-01-25
140,121,765,8,13718.33,0.21,108.53,86808.38,CANCELADO,2024-11-16
141,478,1443,8,11429.2,0.1,38.44,82328.68,ENVIADO,2023-08-28
142,338,236,7,8555.45,0.07,87.09,55783.07,CANCELADO,2022-12-13
143,1018,501,0,13755.15,0.16,99.85,34762.83,PENDENTE,2022-01-19
144,467,383,,9275.17,,96.31,7516.45,CANCELADO,2022-02-05
145,715,691,7,12096.39,0.27,24.98,61837.53,CANCELADO,2024-04-11
146,250,714,dez,4513.62,0.25,21.29,13562.15,pago,2022-06-19
147,445,1109,6,8496.53,0.26,23.35,37747.94,CANCELADO,2025-01-17
148,34,184,6,254.56,0.06,30.19,1465.91,CANCELADO,2024-02-26
149,144,810,2,7521.88,0.29,17.52,10698.59,PAGO,2023-07-14
150,462,503,4,5350.05,0.28,70.46,15478.6,PENDENTE,2024-02-18
151,650,158,7,4763.84,0.03,10.73,32357.2,ENVIADO,2022/07/31
152,568,96,10,8978.7,0.1,63.93,80872.23,PENDENTE,2024-02-19
153,276,309,-5,7407.0,0.02,70.85,36365.15,ENVIADO,2022-08-08
154,7,972,7,4996.61,0.19,122.57,28453.35,PENDENTE,2024-09-08
155,988,408,6,4385.89,0.21,78.74,20867.86,PENDENTE,31/02/2025
156,966,726,4,6588.06,0.09,107.0,24087.54,ENVIADO,99/99/9999
157,491,1496,7,8024.82,0.28,131.75,40576.84,PENDENTE,2023-12-29
158,628,46,10,14754.45,0.2,65.95,R$500,PENDENTE,2024-07-01
159,475,791,10,10362.75,0.05,149.68,98595.8,CANCELADO,2024-07-21
160,534,495,6,7152.91,0.13,107.55,37445.74,PENDENTE,2023-05-15
161,566,164,6,8406.54,,42.46,35854.32,ENVIADO,03-07-2024
162,211,286,2,8668.67,0.24,85.16,13261.54,ENVIADO,2024-03-14
163,357,361,8,9268.09,0.24,108.84,56458.83,PENDENTE,2024-11-12
164,611,142,10,5767.98,0.06,98.97,54317.98,ENVIADO,2022-04-20
165,975,10,8,2065.29,0.24,144.94,12701.9,PAGO,2023-03-28
166,282,231,9,4344.28,0.23,89.19,30195.05,PAGO,2024-06-22
167,436,105,4,4479.68,0.3,72.96,12616.06,CANCELADO,2024-05-26
168,143,804,4,12206.68,0.24,89.81,37198.12,PAGO,2022-10-05
169,805,422,1,14887.44,0.26,27.76,11044.47,CANCELADO,2024-04-28
170,78,649,2,6054.7,0.22,107.26,9552.59,ENVIADO,2024-01-04
171,815,548,7,3283.09,0.13,39.66,20033.68,PAGO,2022-04-05
172,803,857,8,263.89,0.28,32.12,1552.13,CANCELADO,2022-07-11
173,257,85,6,9974.34,0.19,17.25,48492.54,PAGO,2022-09-29
174,532,697,8,159.12,0.21,124.4,mil,CANCELADO,2023-09-05
175,793,833,3,9630.81,0.2,19.58,23133.52,ENVIADO,2023-03-21
176,103,144,2,8851.82,0.12,144.85,15724.05,PAGO,2023-09-10
177,622,522,4,11222.7,0.09,17.64,40868.27,PAGO,2024-01-10
178,136,397,,6324.54,0.16,34.19,R$500,ENVIADO,2024-11-03
179,730,514,7,6365.16,0.12,99.68,0,PAGO,2023-09-28
180,748,977,4,887.43,0.03,70.83,3514.06,PAGO,2022-12-02
181,356,536,9,11749.15,0.22,,82512.4,CANCELADO,99/99/9999
182,643,79,8,6838.86,0.11,79.95,48772.63,PAGO,2022-04-01
183,13,251,1,7087.03,0.11,31.01,6338.47,ENVIADO,2023-10-18
184,80,586,dez,1808.63,0.2,17.37,mil,PAGO,2025-02-06
185,378,206,5,8465.82,0.09,97.18,38616.66,PENDENTE,31/02/2025
186,25,1337,9,5209.43,0.25,132.81,35296.46,ENVIADO,2024-10-04
187,996,146,5,1413.54,0.28,135.62,5224.36,ENVIADO,2022-06-03
188,64,446,3,3566.84,0.08,54.1,9898.58,PAGO,2022-11-15
189,461,478,6,6109.56,0.16,145.05,30937.23,PAGO,2023-03-17
190,1154,152,2,10673.14,0.29,65.47,mil,PAGO,2024-08-04
191,813,144,2,199.11,0.25,147.56,446.23,PAGO,2022-02-14
192,203,925,8,12143.29,0.03,128.62,,ENVIADO,2024-05-23
193,220,931,3,4139.23,0.13,30.81,10834.2,ENVIADO,2022-10-09
194,1196,906,9,3752.23,0.3,86.11,23725.16,ENVIADO,2023-07-08
195,327,612,4,458.97,0.24,49.33,1444.6,PENDENTE,2023-06-30
196,811,940,1,11465.46,0.28,90.6,8345.73,CANCELADO,2022-02-27
197,361,971,10,8462.83,0.17,36.35,70277.84,PENDENTE,2022-02-10
198,1,340,10,3037.94,0.04,110.37,,CANCELADO,2022-05-29
199,965,679,7,8798.53,0.1,55.16,55485.9,CANCELADO,2023-04-03
200,835,180,7,4616.21,0.21,27.83,25555.47,,2023-10-14
201,991,1178,4,9601.91,0.03,79.47,37334.88,CANCELADO,07-03-2024
202,1225,710,2,5270.21,0.24,110.86,8121.58,PAGO,2024-09-08
203,592,667,4,2456.59,0.02,128.41,0,Pago,2023-11-24
204,629,915,-5,10573.48,0.13,101.51,73692.93,CANCELADO,2023-07-31
205,99,51,7,8585.11,0.25,31.5,45103.33,pago,2023-08-21
206,485,865,2,4639.13,0.12,78.47,8243.34,CANCELADO,2024-06-19
207,232,858,5,8472.41,0.05,107.51,40351.46,Pagoo,2024-12-06
208,549,704,,8599.26,0.07,51.84,64030.33,PAGO,2024-07-08
209,172,996,4,12130.74,0.04,69.27,46651.31,PAGO,2022-06-28
210,1359,566,6,12852.23,0.16,138.4,64913.64,PAGO,2022-08-05
211,104,805,5,13014.78,0.26,132.91,48287.6,ENVIADO,2022-03-21
212,901,340,4,758.38,0.14,47.6,2656.43,PENDENTE,2022-10-03
213,762,454,6,4055.91,0.13,100.38,21272.23,PENDENTE,2022-05-15
214,519,414,3,11712.14,0.16,89.61,-500,CANCELADO,2024-01-25
215,518,407,2,10223.99,0.07,78.43,19095.05,PAGO,07/08/2023
216,167,875,10,11701.86,0.06,40.99,110038.47,ENVIADO,2022-09-28
217,616,821,1,3372.08,0.18,142.02,2907.13,CANCELADO,2024-12-02
218,407,599,2,130.07,0.3,145.31,327.41,CANCELADO,2023-10-28
219,1439,672,5,2841.63,0.16,43.64,11978.49,CANCELADO,2023-06-16
220,415,398,1,8753.7,0.3,124.24,6251.83,CANCELADO,2022-12-15
221,898,572,3,4420.89,0.14,113.73,11519.63,PENDENTE,2023-09-21
222,909,340,6,3923.18,0.09,129.17,21549.73,ENVIADO,2024-12-21
223,56,892,3,2077.73,0.06,67.29,5926.49,PENDENTE,2023-10-04
224,5,463,5,3156.55,0.23,90.68,12243.4,ENVIADO,99/99/9999
225,205,1003,6,14252.03,0.27,115.96,62539.85,ENVIADO,2024-10-27
226,172,67,1,4487.07,0.09,111.9,4195.13,PENDENTE,2022-12-04
227,941,1259,7,306.49,0.07,,2143.13,CANCELADO,2024-12-31
228,609,50,2,9810.44,0.01,106.56,19531.23,CANCELADO,2024-05-11
229,679,533,5,9349.51,0.21,68.64,36999.2,CANCELADO,2024-12-07
230,367,721,7,4444.36,0.01,79.49,-500,PENDENTE,2022-07-04
231,77,741,-1,13573.6,0.19,73.95,22063.18,ENVIADO,2022-08-26
232,777,912,1,164.89,0.04,100.61,258.9,PAGO,2024-03-31
233,468,279,7,10354.74,0.14,69.04,62404.57,ENVIADO,2025-03-11
234,186,626,7,11691.88,0.18,130.76,67242.15,PAGO,2023-06-20
235,13,722,9,11517.58,0.17,89.1,86125.42,PENDENTE,2024-09-13
236,693,1479,7,2246.84,0.25,134.89,11930.8,Pagoo,2023-10-19
237,994,1228,1,7613.8,0.17,63.01,6382.46,ENVIADO,2022-02-06
238,423,37,9,8245.5,0.25,120.85,55777.97,PAGO,2023-04-02
239,340,574,10,9007.27,0.21,60.86,R$500,CANCELADO,08-06-2022
240,505,144,7,1622.28,0.18,36.26,9348.15,PAGO,2024-07-11
241,1479,980,9,2036.85,0.15,84.25,15666.15,PENDENTE,2022-09-20
242,674,615,10,13242.78,0.15,63.85,112627.48,PENDENTE,2022-10-10
243,717,908,9,4497.72,0.21,130.5,32109.29,PENDENTE,2022-12-31
244,711,653,6,10661.08,0.23,88.72,49342.91,ENVIADO,2022-01-27
245,26,391,3,814.91,0.02,47.38,2443.22,PAGO,2024-01-05
246,105,631,9,12975.33,0.22,88.58,91175.4,CANCELADO,2025/02/04
247,208,636,8,12453.15,0.27,108.65,72835.05,PENDENTE,2022-06-02
248,178,753,9,1807.92,0.01,49.08,mil,CANCELADO,2022-04-15
249,641,631,5,7368.45,0.17,60.13,30639.2,ENVIADO,2022-07-08
250,905,219,6,4979.38,0.09,143.04,27330.45,PENDENTE,2023-05-15
251,699,907,,5732.96,0.24,25.87,26168.17,PAGO,2023-08-31
252,198,329,9,1253.53,0.03,146.03,11089.35,PAGO,2023-02-26
253,720,900,7,9705.49,0.28,114.56,49030.23,PENDENTE,2023-06-14
254,462,646,7,6506.72,0.01,104.26,45195.83,,2022-08-06
255,703,309,10,1315.85,0.23,71.27,10203.32,CANCELADO,2022-10-23
256,909,1294,6,14361.73,0.0,132.47,86302.85,CANCELADO,2023-03-10
257,662,872,9,2153.98,0.06,96.36,18319.03,ENVIADO,30/01/2025
258,257,101,4,10889.33,0.15,56.32,37080.04,CANCELADO,2025-04-11
259,581,374,6,14380.71,0.05,53.85,82023.9,ENVIADO,2024-08-05
260,794,313,8,8284.04,0.05,94.93,63053.63,Pago,2022-02-08
261,1134,32,10,8691.93,0.23,39.79,66967.65,CANCELADO,2022-10-02
262,523,93,7,5470.71,0.0,43.44,38338.41,PENDENTE,2024-09-17
263,42,225,8,3491.61,0.08,42.76,25741.01,ENVIADO,2023-10-26
264,992,534,5,12526.39,0.08,86.21,57707.6,PENDENTE,2024-11-23
265,837,889,6,7313.19,0.14,94.59,R$500,PAGO,2023-04-17
266,339,738,0,7233.12,0.14,39.5,12480.47,PENDENTE,2022-04-25
267,1369,185,9,14374.41,0.18,88.9,106172.05,ENVIADO,2022-12-16
268,421,616,3,11923.35,0.25,35.46,26863.0,ENVIADO,2022-09-28
269,208,536,9,10271.83,0.25,94.77,69429.62,PENDENTE,2025-01-09
270,919,961,7,7840.22,0.11,16.08,48860.65,PAGO,2024-05-21
271,489,785,0,13653.08,0.03,,53067.71,CANCELADO,2024-04-17
272,159,437,10,3819.42,0.26,69.3,28333.01,CANCELADO,2025-02-19
273,260,315,10,5178.46,0.21,113.01,41022.84,ENVIADO,2023-11-25
274,629,714,1,2427.86,0.29,10.74,1734.52,PAGO,2024-02-27
275,411,629,9,4311.31,0.29,,,PENDENTE,2022-12-14
276,369,245,1,14635.18,,48.63,14244.75,CANCELADO,2025-02-19
277,357,1090,5,3409.91,0.29,73.67,12178.85,CANCELADO,2025-01-06
278,589,257,8,14491.51,0.17,,96341.43,PAGO,2024-02-23
279,226,694,4,12006.42,0.12,59.43,42322.03,PENDENTE,2024-09-02
280,224,916,10,4050.76,0.28,105.64,29271.11,PENDENTE,2023-12-31
281,110,123,dez,10143.67,0.2,95.94,16325.81,CANCELADO,2024-10-02
282,1410,938,9,4218.39,0.07,90.73,R$500,PAGO,2024-11-27
283,706,9,1,10118.06,0.11,24.1,9029.17,PENDENTE,2024-10-18
284,430,718,6,5488.87,0.12,73.1,29054.33,ENVIADO,2023-02-06
285,983,757,3,7105.35,0.0,69.01,21385.06,PAGO,2024-03-26
286,168,62,4,12210.99,0.14,98.18,42103.99,Pago,2023-12-21
287,987,621,4,8661.27,0.19,85.38,28147.89,,2023-08-10
288,980,149,3,9615.9,0.28,69.05,R$500,CANCELADO,2024-03-20
289,456,800,6,11223.47,0.16,73.04,56639.33,PENDENTE,2022-12-08
290,98,66,8,8235.54,0.01,65.58,65291.06,PENDENTE,2023-08-05
291,130,135,9,12581.0,0.01,102.9,112199.61,PENDENTE,2024-07-24
292,652,899,10,6535.96,0.19,84.73,53026.01,PAGO,2022-01-01
293,777,869,3,5171.4,0.14,11.16,mil,CANCELADO,2023-01-22
294,575,448,-1,3763.44,0.21,100.44,20912.26,CANCELADO,2023-08-07
295,545,829,5,6205.3,0.26,35.54,22995.15,Pago,31/12/2024
296,289,276,3,10733.64,0.22,42.59,25159.31,PAGO,2023-11-08
297,769,975,3,859.45,0.23,19.99,2005.32,PENDENTE,2024-02-28
298,454,254,1,3003.71,0.22,23.15,2366.04,PAGO,2023-06-03
299,306,204,6,13315.04,0.26,40.49,59159.27,PAGO,2022-03-28
300,708,487,10,2341.78,0.23,44.82,18076.53,PENDENTE,2025-01-03
301,129,500,4,4764.76,0.17,100.25,mil,ENVIADO,2024-06-15
302,556,714,8,2862.84,0.06,58.67,21587.23,CANCELADO,2023-06-24
303,465,1,9,5698.07,0.06,12.62,48218.29,ENVIADO,2025-02-03
304,1428,331,7,9620.74,0.03,83.25,-500,ENVIADO,2024-09-30
305,1472,605,5,755.3,0.07,110.5,3622.64,,2024-05-01
306,1156,1111,1,12358.17,0.08,15.69,11385.21,PENDENTE,2025-03-13
307,184,572,9,6239.47,0.03,99.41,54569.98,CANCELADO,2022-11-20
308,615,454,6,13539.22,0.17,149.56,67574.88,ENVIADO,2025-01-31
309,261,369,8,6723.55,0.12,111.68,47445.47,CANCELADO,2022-02-14
310,966,707,5,13788.3,0.15,89.89,58690.17,CANCELADO,2023-09-08
311,410,583,4,11019.3,0.22,121.01,34501.23,ENVIADO,2022-06-10
312,944,790,6,5231.99,0.25,,23612.26,ENVIADO,2022-04-21
313,43,327,9,8482.4,0.1,107.69,68815.13,ENVIADO,2023-08-17
314,152,136,6,1256.53,0.17,16.9,6274.42,ENVIADO,2024-03-20
315,201,575,10,14956.24,0.16,43.92,125676.34,PENDENTE,2023-10-19
316,672,25,5,2555.44,0.1,125.02,11624.5,PAGO,2022-08-19
317,1356,972,10,13902.41,0.26,124.82,103002.65,CANCELADO,2025-01-28
318,748,1103,1,5661.57,0.27,83.75,4216.7,Pagoo,2023-07-10
319,935,676,6,12966.95,0.01,131.44,77155.12,PAGO,2023-01-17
320,990,469,9,13896.72,0.01,44.63,123864.41,PENDENTE,2024-10-23
321,1285,641,5,13182.59,0.27,124.08,48240.53,PENDENTE,2024-05-04
322,157,437,5,13647.84,0.1,85.91,61501.19,PENDENTE,2024-05-30
323,1273,789,3,9850.35,0.17,32.13,24559.5,ENVIADO,2024-04-22
324,1314,957,5,2296.32,0.06,28.42,10821.12,Pago,2024-09-03
325,867,620,8,10686.05,0.11,129.3,-500,PENDENTE,31/02/2025
326,888,632,8,10324.18,0.26,134.26,61253.41,PAGO,2024-12-02
327,468,1199,1,13169.14,,85.3,12332.6,CANCELADO,2023-08-09
328,433,302,10,13787.11,0.21,136.51,109054.68,PENDENTE,2024-03-16
329,462,26,3,6816.14,0.27,135.41,15062.76,PAGO,2022-08-22
330,650,372,2,7866.78,0.12,120.75,13966.28,PENDENTE,2022-11-29
331,184,788,1,6305.33,0.09,117.61,5855.46,ENVIADO,2024-10-16
332,557,827,1,9127.6,,40.36,7798.82,PENDENTE,2022-04-11
333,57,669,6,570.08,0.26,103.38,mil,PENDENTE,2024-07-21
334,369,1219,1,1415.03,0.09,61.6,mil,ENVIADO,2024-12-10
335,215,627,1,1657.35,0.22,98.06,1390.79,CANCELADO,2023-06-16
336,639,363,3,9222.06,0.15,112.09,23628.34,ENVIADO,2022-08-30
337,213,819,-1,14984.83,0.12,56.73,131923.23,CANCELADO,2022-01-13
338,342,350,7,10871.46,0.18,14.08,62416.26,ENVIADO,2022-11-15
339,914,1267,9,13441.01,0.14,123.98,104157.4,CANCELADO,12-26-2023
340,288,861,1,5100.5,0.11,84.8,4624.24,PAGO,2023-07-11
341,509,899,4,5586.32,0.25,52.37,0,Pagoo,2024-10-21
342,349,946,8,10991.97,0.16,118.57,73984.61,ENVIADO,2024-03-04
343,535,119,1,4678.5,0.01,128.74,4760.45,Cancelado,2023-10-02
344,215,329,4,2904.33,,54.68,10742.61,PENDENTE,2025-01-16
345,327,278,3,14150.3,0.24,,32353.05,PAGO,2022-08-05
346,89,437,7,2701.17,0.18,92.99,15597.71,PAGO,2024-08-11
347,96,833,8,1477.0,0.09,100.22,10852.78,PENDENTE,2023-11-08
348,904,333,8,7322.85,0.02,25.8,57436.94,PAGO,2023-10-30
349,73,812,5,8000.53,0.12,67.88,35270.21,ENVIADO,2025-03-07
350,558,711,4,2612.82,0.2,113.51,8474.53,CANCELADO,11/04/2024
351,702,834,10,11574.72,0.11,79.2,103094.21,pago,2022-11-02
352,299,400,10,8677.41,0.06,105.41,81673.06,CANCELADO,2022-07-02
353,627,523,,12717.6,0.26,18.74,65895.91,PENDENTE,2024-06-03
354,404,641,6,10682.37,0.12,70.93,56473.84,CANCELADO,2022-09-15
355,74,664,1,2177.06,0.27,102.11,1691.36,ENVIADO,2023-01-04
