produto_id,nome,categoria,marca,preco,estoque,data_cadastro,status_data
41,RTX 4060,PLACA DE VÍDEO,Samsung,11934.28,116,2023-07-26,COM DATA
42,NOTEBOOK GAMER,NOTEBOOK,LG,7650.9,347,2025-04-04,COM DATA
43,MEMÓRIA 8GB,MEMÓRIA,Samsung,3996.69,55,2024-02-28,COM DATA
45,GABINETE RGB,GABINETE,Lenovo,1068.21,340,2024-11-04,COM DATA
46,TECLADO MECÂNICO,TECLADO,Corsair,6137.73,206,2022-12-23,COM DATA
47,TECLADO MECÂNICO,TECLADO,Kingston,4528.23,280,2023-10-22,COM DATA
48,WEBCAM HD,HD,Lenovo,6643.55,109,2024-11-21,COM DATA
49,GABINETE RGB,GABINETE,HP,9296.53,47,,SEM DATA
51,IMPRESSORA LASER,IMPRESSORA,Acer,3674.89,335,2023-03-25,COM DATA
52,MONITOR 27,MONITOR,Intel,14370.33,265,2024-12-23,COM DATA
53,WEBCAM HD,HD,AOC,8939.88,486,2025-01-27,COM DATA
54,SSD 240GB,SSD,Redragon,2404.19,441,2024-12-03,COM DATA
57,IMPRESSORA LASER,IMPRESSORA,Dell,5854.36,394,2023-12-22,COM DATA
58,WEBCAM HD,HD,Kingston,5862.0,456,2023-03-28,COM DATA
60,NOTEBOOK GAMER,NOTEBOOK,LG,8021.17,464,2024-08-03,COM DATA
61,IMPRESSORA LASER,IMPRESSORA,Redragon,3917.14,167,2024-05-13,COM DATA
63,SSD 240GB,SSD,Samsung,14245.18,102,2025-03-01,COM DATA
64,FONTE 650W,FONTE,Samsung,6986.21,131,2022-12-02,COM DATA
65,RTX 4060,PLACA DE VÍDEO,HP,1639.32,13,2022-06-05,COM DATA
66,GABINETE RGB,GABINETE,Redragon,12461.96,124,2025-03-05,COM DATA
68,MOUSE GAMER,MOUSE,AMD,14412.6,325,2023-07-08,COM DATA
69,WEBCAM HD,HD,AOC,13795.87,396,2023-05-18,COM DATA
70,CORE I7,PROCESSADOR,Asus,1318.21,451,2022-02-28,COM DATA
71,MEMÓRIA 8GB,MEMÓRIA,Logitech,4888.71,249,2023-07-20,COM DATA
72,RYZEN 5,PROCESSADOR,Logitech,7759.08,97,2024-09-02,COM DATA
74,MEMÓRIA 16GB,MEMÓRIA,Lenovo,7973.21,217,2023-05-30,COM DATA
75,IMPRESSORA LASER,IMPRESSORA,HP,10824.84,161,2024-09-18,COM DATA
76,MONITOR 27,MONITOR,HP,8852.01,389,2024-01-10,COM DATA
78,MOUSE SEM FIO,MOUSE,AOC,203.74,145,2024-09-05,COM DATA
80,RYZEN 7,PROCESSADOR,Intel,6254.29,305,2023-09-01,COM DATA
84,MOUSE GAMER,MOUSE,Redragon,8177.54,331,2023-09-22,COM DATA
85,HEADSET GAMER,HEADSET,Lenovo,12367.12,471,2024-10-21,COM DATA
87,NOTEBOOK OFFICE,NOTEBOOK,Intel,330.77,391,2024-11-28,COM DATA
88,RYZEN 5,PROCESSADOR,Asus,13742.77,92,2024-04-16,COM DATA
89,RYZEN 5,PROCESSADOR,AOC,10058.6,439,,SEM DATA
90,RYZEN 7,PROCESSADOR,Corsair,4731.47,165,2025-01-16,COM DATA
91,FONTE 750W,FONTE,HP,831.98,265,2023-07-01,COM DATA
92,NOTEBOOK GAMER,NOTEBOOK,Redragon,13916.54,224,2023-05-06,COM DATA
93,MONITOR 27,MONITOR,Corsair,4675.04,7,2022-11-12,COM DATA
94,RYZEN 5,PROCESSADOR,Intel,10754.72,260,2025-02-02,COM DATA
95,MONITOR 24,MONITOR,AOC,2875.34,306,2024-04-29,COM DATA
96,HD 2TB,HD,Corsair,11820.01,136,2024-09-29,COM DATA
97,CORE I5,PROCESSADOR,Asus,6709.28,247,2023-01-22,COM DATA
98,NOTEBOOK OFFICE,NOTEBOOK,Logitech,3597.31,196,2024-02-20,COM DATA
99,NOTEBOOK OFFICE,NOTEBOOK,Asus,9962.06,420,2022-07-25,COM DATA
101,MEMÓRIA 8GB,MEMÓRIA,AMD,3990.04,319,2024-02-18,COM DATA
102,NOTEBOOK OFFICE,NOTEBOOK,Corsair,9409.45,454,2023-08-12,COM DATA
103,HEADSET GAMER,HEADSET,LG,11206.56,222,2023-09-06,COM DATA
105,RYZEN 5,PROCESSADOR,HP,1202.95,445,2024-08-02,COM DATA
107,HD 2TB,HD,AOC,4501.33,492,2024-09-16,COM DATA
108,HD 2TB,HD,Lenovo,5732.84,183,2022-01-17,COM DATA
109,WEBCAM HD,HD,Lenovo,10293.28,381,2023-04-17,COM DATA
110,IMPRESSORA LASER,IMPRESSORA,Corsair,5297.77,325,2022-10-08,COM DATA
112,MEMÓRIA 16GB,MEMÓRIA,Lenovo,2651.09,67,2022-12-03,COM DATA
113,MEMÓRIA 8GB,MEMÓRIA,Samsung,12373.85,246,2022-10-16,COM DATA
114,CORE I5,PROCESSADOR,Acer,3399.71,346,2022-01-29,COM DATA
115,CORE I7,PROCESSADOR,Asus,1871.36,188,2022-08-10,COM DATA
116,FONTE 650W,FONTE,Corsair,7082.72,317,2024-08-08,COM DATA
118,HEADSET GAMER,HEADSET,Kingston,2052.25,232,2022-11-13,COM DATA
119,SSD 1TB,SSD,HP,9830.73,426,2024-06-27,COM DATA
120,CORE I5,PROCESSADOR,Asus,3556.97,185,2022-05-05,COM DATA
121,MONITOR 24,MONITOR,Corsair,2863.33,62,,SEM DATA
122,IMPRESSORA LASER,IMPRESSORA,HP,3668.66,64,2023-04-23,COM DATA
123,MOUSE GAMER,MOUSE,Lenovo,2230.36,461,2022-12-24,COM DATA
125,CORE I7,PROCESSADOR,HP,11190.07,243,2022-03-30,COM DATA
126,NOTEBOOK GAMER,NOTEBOOK,AOC,13633.1,337,2024-04-02,COM DATA
128,RYZEN 7,PROCESSADOR,Kingston,8788.76,364,2024-05-31,COM DATA
129,CORE I5,PROCESSADOR,Acer,10532.66,436,2024-07-13,COM DATA
130,MONITOR 27,MONITOR,Corsair,6218.93,423,2023-06-07,COM DATA
131,MONITOR 24,MONITOR,Logitech,2306.53,472,2024-02-03,COM DATA
132,GABINETE RGB,GABINETE,AOC,8354.43,300,2024-05-16,COM DATA
133,MONITOR 27,MONITOR,LG,10821.49,495,2024-09-14,COM DATA
134,SSD 1TB,SSD,Acer,1641.11,432,2025-02-22,COM DATA
135,FONTE 650W,FONTE,Logitech,12280.03,314,,SEM DATA
136,MOUSE SEM FIO,MOUSE,Corsair,10546.43,158,,SEM DATA
137,MEMÓRIA 8GB,MEMÓRIA,Logitech,1394.53,271,2023-10-27,COM DATA
138,IMPRESSORA LASER,IMPRESSORA,Samsung,8522.55,43,2023-07-12,COM DATA
139,IMPRESSORA LASER,IMPRESSORA,Acer,6371.74,310,2022-08-16,COM DATA
140,SSD 240GB,SSD,Dell,10183.72,249,2022-01-16,COM DATA
141,MEMÓRIA 8GB,MEMÓRIA,Logitech,14180.95,392,2024-05-31,COM DATA
142,GABINETE RGB,GABINETE,Acer,5715.51,360,2022-03-28,COM DATA
143,CORE I7,PROCESSADOR,Acer,6907.12,39,2023-08-16,COM DATA
144,RX 7600,PLACA DE VÍDEO,Asus,332.43,166,2022-06-30,COM DATA
145,RTX 4060,PLACA DE VÍDEO,Asus,1605.83,223,2023-03-30,COM DATA
146,TECLADO MECÂNICO,TECLADO,Asus,2538.63,261,2022-10-30,COM DATA
147,IMPRESSORA LASER,IMPRESSORA,Redragon,2213.73,101,2024-10-08,COM DATA
148,CORE I7,PROCESSADOR,Asus,8464.76,296,2023-10-10,COM DATA
149,CORE I7,PROCESSADOR,Lenovo,1042.93,226,2024-08-03,COM DATA
150,MONITOR 24,MONITOR,Acer,872.21,425,2024-08-05,COM DATA
151,CORE I7,PROCESSADOR,Kingston,14314.39,378,2024-09-01,COM DATA
152,MEMÓRIA 8GB,MEMÓRIA,AMD,14366.68,230,,SEM DATA
153,MEMÓRIA 16GB,MEMÓRIA,Acer,14864.97,268,2023-11-24,COM DATA
155,FONTE 750W,FONTE,LG,8749.44,72,2022-06-23,COM DATA
156,HEADSET GAMER,HEADSET,Corsair,5662.66,405,2024-12-14,COM DATA
157,MOUSE SEM FIO,MOUSE,Redragon,10063.43,260,2024-09-22,COM DATA
159,MOUSE SEM FIO,MOUSE,Redragon,13148.36,316,2022-12-06,COM DATA
160,RX 7600,PLACA DE VÍDEO,Logitech,674.51,186,2024-07-08,COM DATA
161,TECLADO MECÂNICO,TECLADO,Intel,3602.74,494,2024-08-03,COM DATA
162,TECLADO MECÂNICO,TECLADO,AOC,11676.3,257,,SEM DATA
163,RYZEN 7,PROCESSADOR,Samsung,13114.27,283,2022-11-25,COM DATA
164,SSD 240GB,SSD,Asus,13581.49,75,2022-02-24,COM DATA
165,MEMÓRIA 16GB,MEMÓRIA,Samsung,5958.88,191,2023-11-18,COM DATA
166,MOUSE GAMER,MOUSE,Intel,2081.24,146,2022-01-11,COM DATA
167,WEBCAM HD,HD,Samsung,304.68,110,2023-08-14,COM DATA
168,RX 7600,PLACA DE VÍDEO,Kingston,1845.29,122,,SEM DATA
169,FONTE 650W,FONTE,Acer,8634.21,367,2023-01-19,COM DATA
170,CORE I5,PROCESSADOR,AMD,1302.5,499,2022-02-11,COM DATA
171,WEBCAM HD,HD,Asus,7062.62,325,2023-05-09,COM DATA
172,MOUSE GAMER,MOUSE,AOC,9431.29,395,2022-12-25,COM DATA
173,MOUSE GAMER,MOUSE,Dell,10276.54,356,2023-08-24,COM DATA
175,MONITOR 27,MONITOR,Acer,12934.84,24,2024-06-19,COM DATA
176,MEMÓRIA 16GB,MEMÓRIA,Lenovo,5811.94,498,2022-06-19,COM DATA
177,HD 2TB,HD,Asus,1202.33,308,2023-08-29,COM DATA
178,RX 7600,PLACA DE VÍDEO,Kingston,9047.27,218,2024-06-09,COM DATA
180,CORE I7,PROCESSADOR,Corsair,3555.21,330,2024-07-10,COM DATA
182,IMPRESSORA LASER,IMPRESSORA,HP,7495.68,198,2023-08-08,COM DATA
183,RX 7600,PLACA DE VÍDEO,Intel,14979.46,102,2022-06-29,COM DATA
184,CORE I5,PROCESSADOR,Lenovo,14514.07,163,2022-11-19,COM DATA
185,SSD 240GB,SSD,Redragon,13911.32,326,2022-10-12,COM DATA
186,CORE I5,PROCESSADOR,Samsung,7420.45,184,2022-05-15,COM DATA
187,RTX 4070,PLACA DE VÍDEO,LG,14993.93,368,2023-10-12,COM DATA
188,IMPRESSORA LASER,IMPRESSORA,LG,6760.62,348,2022-09-22,COM DATA
189,HD 2TB,HD,Logitech,13662.47,28,2023-04-07,COM DATA
191,MOUSE GAMER,MOUSE,Logitech,1419.56,328,2023-11-23,COM DATA
192,FONTE 750W,FONTE,Corsair,8463.0,422,2023-03-08,COM DATA
194,RX 7600,PLACA DE VÍDEO,LG,1113.14,30,2023-10-03,COM DATA
195,IMPRESSORA LASER,IMPRESSORA,Samsung,4803.36,440,2023-10-16,COM DATA
196,HD 2TB,HD,Kingston,1855.38,230,2024-05-06,COM DATA
197,WEBCAM HD,HD,LG,12982.31,81,2024-10-17,COM DATA
199,GABINETE RGB,GABINETE,Dell,777.1,253,2022-08-09,COM DATA
200,NOTEBOOK OFFICE,NOTEBOOK,AMD,13239.19,372,2023-02-03,COM DATA
201,SSD 1TB,SSD,Corsair,4343.25,197,2022-09-01,COM DATA
202,MEMÓRIA 16GB,MEMÓRIA,Kingston,1468.29,191,2024-11-08,COM DATA
203,RYZEN 5,PROCESSADOR,Kingston,623.02,19,2024-11-21,COM DATA
204,WEBCAM HD,HD,Asus,13971.9,163,2024-11-04,COM DATA
205,NOTEBOOK GAMER,NOTEBOOK,Samsung,7994.45,362,2024-05-03,COM DATA
206,FONTE 650W,FONTE,Redragon,11955.39,371,2025-03-30,COM DATA
207,WEBCAM HD,HD,Acer,10826.57,298,2022-10-30,COM DATA
208,NOTEBOOK GAMER,NOTEBOOK,LG,3648.1,293,2024-04-25,COM DATA
209,WEBCAM HD,HD,LG,6167.45,396,2024-11-28,COM DATA
210,MOUSE SEM FIO,MOUSE,Asus,4889.24,339,2025-01-23,COM DATA
211,SSD 1TB,SSD,HP,11584.41,369,2023-07-26,COM DATA
212,HEADSET GAMER,HEADSET,Intel,3388.51,498,2023-10-12,COM DATA
213,MONITOR 27,MONITOR,Acer,8416.1,478,2024-03-19,COM DATA
215,HEADSET GAMER,HEADSET,Kingston,3225.52,423,2023-05-06,COM DATA
216,MONITOR 27,MONITOR,Intel,10054.11,271,2022-07-25,COM DATA
217,RTX 4070,PLACA DE VÍDEO,Intel,2079.26,493,2024-09-04,COM DATA
218,IMPRESSORA LASER,IMPRESSORA,HP,11343.55,147,2024-12-31,COM DATA
219,MOUSE SEM FIO,MOUSE,AOC,12757.99,19,2024-03-24,COM DATA
220,NOTEBOOK OFFICE,NOTEBOOK,Asus,2810.95,383,2023-08-06,COM DATA
221,RYZEN 7,PROCESSADOR,Redragon,9626.86,268,2022-08-19,COM DATA
222,WEBCAM HD,HD,Kingston,10972.17,331,2023-01-31,COM DATA
223,MEMÓRIA 8GB,MEMÓRIA,Samsung,12845.07,459,2023-01-14,COM DATA
224,SSD 240GB,SSD,Asus,7172.26,479,2023-09-11,COM DATA
225,NOTEBOOK OFFICE,NOTEBOOK,Lenovo,8601.7,133,2022-11-24,COM DATA
226,HEADSET GAMER,HEADSET,Lenovo,7547.76,458,2024-01-23,COM DATA
227,FONTE 650W,FONTE,AMD,3302.55,68,2024-08-22,COM DATA
228,IMPRESSORA LASER,IMPRESSORA,Samsung,12033.88,422,2024-12-12,COM DATA
229,CORE I5,PROCESSADOR,Kingston,10562.42,39,2025-01-04,COM DATA
230,HEADSET GAMER,HEADSET,AMD,4935.2,266,2024-07-01,COM DATA
231,CORE I5,PROCESSADOR,Lenovo,6812.42,262,2022-02-14,COM DATA
233,IMPRESSORA LASER,IMPRESSORA,Corsair,7091.63,146,2024-05-10,COM DATA
234,RTX 4060,PLACA DE VÍDEO,AOC,13372.18,229,2025-01-09,COM DATA
235,RYZEN 7,PROCESSADOR,AOC,12907.09,60,2022-01-08,COM DATA
236,CORE I5,PROCESSADOR,HP,14677.79,237,2024-08-01,COM DATA
237,NOTEBOOK OFFICE,NOTEBOOK,Kingston,4149.23,479,2022-02-02,COM DATA
239,WEBCAM HD,HD,Kingston,11645.43,71,2023-10-19,COM DATA
240,SSD 1TB,SSD,Corsair,13146.35,338,2024-05-24,COM DATA
241,RYZEN 7,PROCESSADOR,Acer,722.32,176,2022-11-02,COM DATA
242,HD 2TB,HD,Redragon,2774.51,275,2024-08-06,COM DATA
243,RTX 4060,PLACA DE VÍDEO,Asus,8444.54,495,2022-06-11,COM DATA
244,NOTEBOOK OFFICE,NOTEBOOK,Kingston,12710.06,47,2022-03-22,COM DATA
245,TECLADO MECÂNICO,TECLADO,Asus,2838.69,389,2023-09-13,COM DATA
246,WEBCAM HD,HD,HP,249.7,479,2023-02-23,COM DATA
247,CORE I5,PROCESSADOR,Lenovo,3605.18,164,2024-01-07,COM DATA
248,IMPRESSORA LASER,IMPRESSORA,HP,7469.21,50,2024-01-30,COM DATA
249,SSD 1TB,SSD,Kingston,704.82,442,2024-05-05,COM DATA
250,RYZEN 5,PROCESSADOR,Asus,2958.95,117,2023-06-12,COM DATA
251,MOUSE SEM FIO,MOUSE,LG,7339.54,370,2022-10-14,COM DATA
252,NOTEBOOK OFFICE,NOTEBOOK,AOC,7334.98,469,2022-06-02,COM DATA
254,RYZEN 5,PROCESSADOR,Dell,5610.55,316,2024-12-25,COM DATA
255,HD 2TB,HD,Redragon,197.53,271,2023-01-03,COM DATA
256,SSD 1TB,SSD,Redragon,1462.78,76,,SEM DATA
257,GABINETE RGB,GABINETE,Corsair,6895.79,124,2022-03-06,COM DATA
258,HEADSET GAMER,HEADSET,AOC,5701.38,282,2024-06-07,COM DATA
259,RYZEN 7,PROCESSADOR,HP,4982.43,500,2025-03-06,COM DATA
260,CORE I5,PROCESSADOR,LG,717.5,38,,SEM DATA
261,MONITOR 24,MONITOR,HP,8813.8,385,2025-03-06,COM DATA
262,WEBCAM HD,HD,Logitech,5849.57,459,2022-06-10,COM DATA
263,MONITOR 24,MONITOR,Kingston,14615.36,27,2024-03-23,COM DATA
264,RYZEN 5,PROCESSADOR,Acer,4909.12,324,2024-06-03,COM DATA
265,SSD 240GB,SSD,Lenovo,8796.41,194,2022-11-12,COM DATA
266,MONITOR 27,MONITOR,Intel,11762.68,78,2024-01-08,COM DATA
267,CORE I5,PROCESSADOR,Dell,1551.43,44,2022-07-03,COM DATA
268,NOTEBOOK GAMER,NOTEBOOK,Redragon,1414.1,306,2022-06-23,COM DATA
269,GABINETE RGB,GABINETE,Lenovo,8401.86,500,2023-09-09,COM DATA
270,RYZEN 5,PROCESSADOR,Lenovo,2206.1,85,2023-05-21,COM DATA
271,HD 2TB,HD,Asus,7447.12,315,2024-02-18,COM DATA
272,FONTE 750W,FONTE,Lenovo,4956.53,171,2023-10-19,COM DATA
273,MEMÓRIA 8GB,MEMÓRIA,Corsair,10435.48,245,2024-10-02,COM DATA
274,RTX 4060,PLACA DE VÍDEO,Kingston,11733.98,166,2023-02-14,COM DATA
276,RYZEN 5,PROCESSADOR,HP,1056.0,434,2023-06-02,COM DATA
277,FONTE 650W,FONTE,AMD,10734.24,404,2024-11-03,COM DATA
278,MEMÓRIA 16GB,MEMÓRIA,AMD,13047.11,214,2022-06-24,COM DATA
279,NOTEBOOK OFFICE,NOTEBOOK,Corsair,3738.5,340,2024-03-29,COM DATA
281,CORE I7,PROCESSADOR,Asus,3331.06,191,2022-02-20,COM DATA
282,WEBCAM HD,HD,Asus,4445.57,471,2024-07-21,COM DATA
283,HEADSET GAMER,HEADSET,Lenovo,7826.3,178,2022-04-02,COM DATA
284,MOUSE SEM FIO,MOUSE,HP,1743.98,434,2024-11-22,COM DATA
285,RTX 4060,PLACA DE VÍDEO,Corsair,2418.83,286,2024-06-04,COM DATA
286,RTX 4060,PLACA DE VÍDEO,HP,11066.08,452,2023-07-25,COM DATA
287,CORE I5,PROCESSADOR,HP,12134.77,32,2024-07-26,COM DATA
288,FONTE 650W,FONTE,Kingston,10067.11,250,2022-08-22,COM DATA
289,HD 2TB,HD,Samsung,12685.86,316,2022-10-02,COM DATA
290,RYZEN 7,PROCESSADOR,LG,3593.82,59,2025-03-23,COM DATA
291,MOUSE SEM FIO,MOUSE,Lenovo,2802.59,325,2022-10-15,COM DATA
293,RX 7600,PLACA DE VÍDEO,Kingston,7434.65,350,2022-03-05,COM DATA
294,MOUSE SEM FIO,MOUSE,Logitech,3323.53,16,2024-10-11,COM DATA
295,MEMÓRIA 16GB,MEMÓRIA,Dell,1715.9,58,2024-06-22,COM DATA
296,SSD 240GB,SSD,Intel,14846.84,52,2023-06-23,COM DATA
297,SSD 240GB,SSD,Kingston,12254.59,224,2023-12-20,COM DATA
298,TECLADO MECÂNICO,TECLADO,Dell,9161.72,219,2025-03-13,COM DATA
299,HD 2TB,HD,AOC,4230.65,275,2024-11-19,COM DATA
300,RTX 4070,PLACA DE VÍDEO,AOC,10195.9,48,2022-09-17,COM DATA
301,IMPRESSORA LASER,IMPRESSORA,Intel,2007.71,74,2022-10-19,COM DATA
304,SSD 1TB,SSD,Asus,5977.78,495,2025-01-25,COM DATA
305,IMPRESSORA LASER,IMPRESSORA,Corsair,8500.81,248,,SEM DATA
307,MONITOR 24,MONITOR,Corsair,13992.23,140,,SEM DATA
308,HEADSET GAMER,HEADSET,Intel,10895.31,386,2022-06-09,COM DATA
310,MEMÓRIA 8GB,MEMÓRIA,LG,3449.62,45,2024-02-23,COM DATA
311,MONITOR 24,MONITOR,Kingston,11302.3,68,2022-12-03,COM DATA
312,FONTE 650W,FONTE,HP,10842.03,321,2022-06-27,COM DATA
313,RTX 4070,PLACA DE VÍDEO,HP,2117.4,63,2023-07-22,COM DATA
314,IMPRESSORA LASER,IMPRESSORA,AOC,3737.54,307,2023-09-10,COM DATA
315,NOTEBOOK OFFICE,NOTEBOOK,HP,9111.76,96,2024-10-10,COM DATA
316,NOTEBOOK GAMER,NOTEBOOK,Asus,3631.4,326,2022-09-28,COM DATA
317,IMPRESSORA LASER,IMPRESSORA,Samsung,12587.82,215,2022-02-04,COM DATA
319,FONTE 650W,FONTE,Lenovo,6365.16,205,2022-06-11,COM DATA
320,CORE I7,PROCESSADOR,Corsair,3063.9,413,2022-05-16,COM DATA
323,IMPRESSORA LASER,IMPRESSORA,Samsung,12341.15,132,2022-03-02,COM DATA
325,WEBCAM HD,HD,AMD,2376.5,395,,SEM DATA
326,MOUSE SEM FIO,MOUSE,Dell,3683.38,241,2025-02-06,COM DATA
327,RTX 4070,PLACA DE VÍDEO,Lenovo,10716.03,335,2022-06-09,COM DATA
328,RYZEN 7,PROCESSADOR,Samsung,1808.63,344,2024-08-10,COM DATA
329,NOTEBOOK GAMER,NOTEBOOK,Kingston,11607.44,159,2023-09-15,COM DATA
330,IMPRESSORA LASER,IMPRESSORA,AMD,3653.91,188,2023-05-18,COM DATA
331,HEADSET GAMER,HEADSET,Dell,13987.32,12,2024-02-10,COM DATA
332,RTX 4070,PLACA DE VÍDEO,LG,10913.68,53,2023-07-28,COM DATA
333,MEMÓRIA 16GB,MEMÓRIA,Samsung,13820.69,459,2025-04-04,COM DATA
334,NOTEBOOK OFFICE,NOTEBOOK,HP,2020.04,419,2023-08-21,COM DATA
335,MEMÓRIA 8GB,MEMÓRIA,HP,4738.83,410,2022-06-02,COM DATA
336,MOUSE SEM FIO,MOUSE,Acer,2058.96,394,2022-09-05,COM DATA
337,MONITOR 27,MONITOR,Corsair,14470.23,106,2023-09-16,COM DATA
338,MOUSE GAMER,MOUSE,Asus,10459.23,20,2024-03-22,COM DATA
339,RTX 4060,PLACA DE VÍDEO,Logitech,10164.21,133,2025-01-31,COM DATA
340,NOTEBOOK OFFICE,NOTEBOOK,LG,6941.41,411,2023-02-10,COM DATA
341,CORE I7,PROCESSADOR,Samsung,5596.15,322,2022-02-14,COM DATA
342,MEMÓRIA 8GB,MEMÓRIA,Dell,2982.3,330,2022-12-11,COM DATA
344,FONTE 750W,FONTE,AMD,13253.69,17,,SEM DATA
345,RYZEN 7,PROCESSADOR,AMD,5757.57,214,2022-02-09,COM DATA
346,MEMÓRIA 16GB,MEMÓRIA,Asus,11733.1,183,2024-03-06,COM DATA
347,IMPRESSORA LASER,IMPRESSORA,Intel,410.42,305,2024-12-20,COM DATA
348,GABINETE RGB,GABINETE,AOC,8768.15,119,2022-04-25,COM DATA
349,MEMÓRIA 16GB,MEMÓRIA,LG,14218.08,294,2022-12-27,COM DATA
350,NOTEBOOK GAMER,NOTEBOOK,Kingston,4783.71,377,2025-02-28,COM DATA
351,RYZEN 5,PROCESSADOR,Intel,14226.56,428,2022-03-19,COM DATA
354,MEMÓRIA 8GB,MEMÓRIA,LG,5616.39,482,2024-06-13,COM DATA
355,CORE I5,PROCESSADOR,Kingston,14410.72,332,2024-01-01,COM DATA
356,HD 2TB,HD,Dell,8842.47,89,2025-03-19,COM DATA
357,MEMÓRIA 8GB,MEMÓRIA,HP,14914.36,494,2025-03-04,COM DATA
358,MEMÓRIA 8GB,MEMÓRIA,Samsung,7452.85,169,2023-11-19,COM DATA
359,MONITOR 27,MONITOR,Acer,3992.88,127,2024-06-16,COM DATA
360,MEMÓRIA 16GB,MEMÓRIA,AOC,14537.15,452,2024-09-08,COM DATA
361,MONITOR 24,MONITOR,Lenovo,8679.27,388,2022-02-11,COM DATA
362,MOUSE SEM FIO,MOUSE,Samsung,14275.9,37,2023-11-24,COM DATA
363,FONTE 750W,FONTE,Acer,9212.4,247,,SEM DATA
364,WEBCAM HD,HD,Lenovo,3099.15,97,2023-09-02,COM DATA
365,NOTEBOOK OFFICE,NOTEBOOK,Samsung,763.54,292,2023-08-27,COM DATA
367,FONTE 750W,FONTE,Asus,5974.06,250,2024-02-21,COM DATA
368,SSD 1TB,SSD,Redragon,6697.71,134,2022-07-18,COM DATA
369,SSD 240GB,SSD,Acer,5169.99,277,2024-12-06,COM DATA
370,SSD 240GB,SSD,Acer,8042.01,443,2022-03-13,COM DATA
371,MOUSE GAMER,MOUSE,Intel,13508.82,409,2022-12-21,COM DATA
372,RTX 4070,PLACA DE VÍDEO,HP,2524.13,108,2022-10-30,COM DATA
373,MONITOR 24,MONITOR,AMD,3883.14,466,2023-10-30,COM DATA
374,FONTE 650W,FONTE,Acer,7804.93,469,2022-08-19,COM DATA
375,MONITOR 27,MONITOR,Redragon,2240.03,301,2022-07-26,COM DATA
376,RTX 4060,PLACA DE VÍDEO,Kingston,13014.78,450,,SEM DATA
377,NOTEBOOK OFFICE,NOTEBOOK,Asus,6056.55,316,,SEM DATA
378,HD 2TB,HD,Intel,13814.11,459,2022-07-21,COM DATA
379,MEMÓRIA 8GB,MEMÓRIA,Kingston,3434.8,153,2022-07-02,COM DATA
380,RYZEN 7,PROCESSADOR,Dell,3186.63,421,2024-11-21,COM DATA
381,RYZEN 7,PROCESSADOR,LG,1002.94,363,2023-01-30,COM DATA
382,MEMÓRIA 16GB,MEMÓRIA,Asus,3026.89,29,2024-08-08,COM DATA
383,RYZEN 5,PROCESSADOR,AOC,9538.44,63,2024-08-29,COM DATA
