pedido_id,cliente_id,produto_id,quantidade,preco_unitario,desconto,frete,valor_total,status,data_pedido,status_data
51,939,285,3.0,14954.24,0.13,123.99,39154.56,ENVIADO,2023-08-14,PEDIDO COM DATA
52,411,834,9.0,569.72,0.0,45.34,5019.0,PAGO,2023-01-20,PEDIDO COM DATA
56,594,676,8.0,12981.6,0.13,77.81,90429.75,ENVIADO,2023-04-24,PEDIDO COM DATA
57,421,45,6.0,11175.68,0.21,80.39,53096.32,CANCELADO,2022-07-25,PEDIDO COM DATA
59,909,778,8.0,13088.3,0.01,19.58,103678.92,PAGO,2024-06-27,PEDIDO COM DATA
60,307,926,1.0,708.94,0.24,51.07,589.86,CANCELADO,2024-02-23,PEDIDO COM DATA
62,468,866,5.0,3004.27,0.12,77.65,13296.44,CANCELADO,2022-01-17,PEDIDO COM DATA
64,662,41,5.0,11833.39,0.01,61.08,58636.36,CANCELADO,2024-12-23,PEDIDO COM DATA
65,280,851,3.0,3869.41,0.25,77.46,8783.63,ENVIADO,2025-02-15,PEDIDO COM DATA
67,651,844,8.0,13642.63,0.09,67.16,99385.51,ENVIADO,2024-01-30,PEDIDO COM DATA
75,486,69,2.0,12479.94,0.03,23.52,24234.6,CANCELADO,2024-05-16,PEDIDO COM DATA
76,739,53,5.0,9014.14,0.11,90.91,40203.83,PENDENTE,2024-05-28,PEDIDO COM DATA
77,998,786,10.0,9211.33,0.19,13.68,74625.45,PAGO,2023-01-07,PEDIDO COM DATA
78,580,674,7.0,1062.39,0.22,146.05,5946.7,PAGO,2022-04-18,PEDIDO COM DATA
80,47,226,7.0,14767.0,0.02,38.62,101340.24,PENDENTE,2024-02-18,PEDIDO COM DATA
82,22,990,6.0,2594.66,0.28,74.41,11283.34,CANCELADO,2023-09-28,PEDIDO COM DATA
83,227,342,3.0,1164.16,0.19,84.28,2913.19,CANCELADO,2023-02-09,PEDIDO COM DATA
84,157,779,2.0,2673.65,0.23,79.18,4196.6,CANCELADO,2022-11-06,PEDIDO COM DATA
87,537,536,10.0,2398.02,0.11,49.61,21391.99,ENVIADO,2023-08-05,PEDIDO COM DATA
88,873,673,10.0,13101.73,0.1,91.58,118007.15,CANCELADO,2025-02-18,PEDIDO COM DATA
89,811,337,3.0,10058.34,0.25,113.43,22744.69,PENDENTE,2023-12-01,PEDIDO COM DATA
90,498,197,4.0,14999.65,0.05,51.41,57050.08,PENDENTE,2024-02-11,PEDIDO COM DATA
91,186,852,10.0,12139.47,0.05,71.27,115396.24,PENDENTE,2023-09-26,PEDIDO COM DATA
92,804,481,4.0,5530.26,0.28,147.82,16074.97,PENDENTE,,PEDIDO SEM DATA
93,896,381,9.0,14015.72,0.21,82.23,99734.0,PENDENTE,2024-07-12,PEDIDO COM DATA
95,143,778,8.0,6740.05,0.0,21.09,53941.49,CANCELADO,,PEDIDO SEM DATA
99,38,301,4.0,676.22,0.06,15.87,2558.46,CANCELADO,2022-04-08,PEDIDO COM DATA
103,242,798,6.0,5445.02,0.28,14.53,23537.02,CANCELADO,2023-07-25,PEDIDO COM DATA
106,125,206,3.0,3566.31,0.15,60.53,9154.62,ENVIADO,2024-12-12,PEDIDO COM DATA
107,420,844,10.0,1124.79,0.29,99.93,8085.94,PENDENTE,2024-06-05,PEDIDO COM DATA
108,890,57,2.0,7781.17,0.09,32.68,14194.41,CANCELADO,2022-09-14,PEDIDO COM DATA
109,630,547,2.0,7548.55,0.05,141.82,14484.06,PAGO,,PEDIDO SEM DATA
110,272,667,4.0,11509.05,0.12,99.46,40611.32,CANCELADO,,PEDIDO SEM DATA
112,126,274,8.0,3733.82,0.03,50.63,29025.07,CANCELADO,2023-01-24,PEDIDO COM DATA
113,511,528,8.0,7491.42,0.09,13.24,54550.78,ENVIADO,2023-08-09,PEDIDO COM DATA
119,627,943,8.0,13094.81,0.22,18.72,81730.33,CANCELADO,2025-01-23,PEDIDO COM DATA
120,791,889,5.0,9158.95,0.06,44.51,43091.57,CANCELADO,2024-09-09,PEDIDO COM DATA
121,957,957,5.0,4331.08,0.17,80.39,18060.03,PAGO,2023-12-11,PEDIDO COM DATA
122,672,263,8.0,3225.52,0.25,47.96,19401.08,PENDENTE,,PEDIDO SEM DATA
123,339,735,8.0,1526.16,0.23,10.73,9411.88,CANCELADO,2023-10-20,PEDIDO COM DATA
125,767,986,5.0,13153.61,0.0,89.51,65857.56,ENVIADO,2023-07-13,PEDIDO COM DATA
127,411,686,2.0,2788.02,0.04,55.3,5408.3,PAGO,2023-06-20,PEDIDO COM DATA
128,710,242,1.0,10023.44,0.14,32.36,8652.52,CANCELADO,2023-03-29,PEDIDO COM DATA
129,137,490,3.0,6835.58,0.3,62.31,14417.03,PAGO,2024-12-12,PEDIDO COM DATA
130,721,371,2.0,13760.33,0.03,126.03,26821.07,ENVIADO,2022-07-06,PEDIDO COM DATA
133,929,387,7.0,1222.14,0.29,132.44,6206.48,PAGO,2022-02-16,PEDIDO COM DATA
134,475,690,9.0,6373.44,0.11,80.39,51093.4,PAGO,2023-05-08,PEDIDO COM DATA
136,750,590,6.0,8670.57,0.23,124.57,40182.6,PENDENTE,2024-05-24,PEDIDO COM DATA
137,49,996,6.0,14124.96,0.2,120.01,67919.82,CANCELADO,2022-10-23,PEDIDO COM DATA
138,937,60,9.0,6201.91,0.12,84.2,25248.04,PENDENTE,2022-04-16,PEDIDO COM DATA
139,690,620,10.0,612.42,0.02,122.65,6124.37,PENDENTE,2023-01-25,PEDIDO COM DATA
140,121,765,8.0,13718.33,0.21,108.53,86808.38,CANCELADO,2024-11-16,PEDIDO COM DATA
142,338,236,7.0,8555.45,0.07,87.09,55783.07,CANCELADO,2022-12-13,PEDIDO COM DATA
145,715,691,7.0,12096.39,0.27,24.98,61837.53,CANCELADO,2024-04-11,PEDIDO COM DATA
148,34,184,6.0,254.56,0.06,30.19,1465.91,CANCELADO,2024-02-26,PEDIDO COM DATA
149,144,810,2.0,7521.88,0.29,17.52,10698.59,PAGO,2023-07-14,PEDIDO COM DATA
152,568,96,10.0,8978.7,0.1,63.93,80872.23,PENDENTE,2024-02-19,PEDIDO COM DATA
154,7,972,7.0,4996.61,0.19,122.57,28453.35,PENDENTE,2024-09-08,PEDIDO COM DATA
155,988,408,6.0,4385.89,0.21,78.74,20867.86,PENDENTE,,PEDIDO SEM DATA
156,966,726,4.0,6588.06,0.09,107.0,24087.54,ENVIADO,,PEDIDO SEM DATA
158,628,46,10.0,14754.45,0.2,65.95,25248.04,PENDENTE,2024-07-01,PEDIDO COM DATA
159,475,791,10.0,10362.75,0.05,149.68,98595.8,CANCELADO,2024-07-21,PEDIDO COM DATA
160,534,495,6.0,7152.91,0.13,107.55,37445.74,PENDENTE,2023-05-15,PEDIDO COM DATA
161,566,164,6.0,8406.54,0.0,42.46,35854.32,ENVIADO,,PEDIDO SEM DATA
163,357,361,8.0,9268.09,0.24,108.84,56458.83,PENDENTE,2024-11-12,PEDIDO COM DATA
164,611,142,10.0,5767.98,0.06,98.97,54317.98,ENVIADO,2022-04-20,PEDIDO COM DATA
165,975,10,8.0,2065.29,0.24,144.94,12701.9,PAGO,2023-03-28,PEDIDO COM DATA
166,282,231,9.0,4344.28,0.23,89.19,30195.05,PAGO,2024-06-22,PEDIDO COM DATA
167,436,105,4.0,4479.68,0.3,72.96,12616.06,CANCELADO,2024-05-26,PEDIDO COM DATA
168,143,804,4.0,12206.68,0.24,89.81,37198.12,PAGO,2022-10-05,PEDIDO COM DATA
169,805,422,1.0,14887.44,0.26,27.76,11044.47,CANCELADO,2024-04-28,PEDIDO COM DATA
170,78,649,2.0,6054.7,0.22,107.26,9552.59,ENVIADO,2024-01-04,PEDIDO COM DATA
171,815,548,7.0,3283.09,0.13,39.66,20033.68,PAGO,2022-04-05,PEDIDO COM DATA
172,803,857,8.0,263.89,0.28,32.12,1552.13,CANCELADO,2022-07-11,PEDIDO COM DATA
173,257,85,6.0,9974.34,0.19,17.25,48492.54,PAGO,2022-09-29,PEDIDO COM DATA
174,532,697,8.0,159.12,0.21,124.4,25248.04,CANCELADO,2023-09-05,PEDIDO COM DATA
176,103,144,2.0,8851.82,0.12,144.85,15724.05,PAGO,2023-09-10,PEDIDO COM DATA
177,622,522,4.0,11222.7,0.09,17.64,40868.27,PAGO,2024-01-10,PEDIDO COM DATA
180,748,977,4.0,887.43,0.03,70.83,3514.06,PAGO,2022-12-02,PEDIDO COM DATA
181,356,536,9.0,11749.15,0.22,80.39,82512.4,CANCELADO,,PEDIDO SEM DATA
183,13,251,1.0,7087.03,0.11,31.01,6338.47,ENVIADO,2023-10-18,PEDIDO COM DATA
187,996,146,5.0,1413.54,0.28,135.62,5224.36,ENVIADO,2022-06-03,PEDIDO COM DATA
189,461,478,6.0,6109.56,0.16,145.05,30937.23,PAGO,2023-03-17,PEDIDO COM DATA
191,813,144,2.0,199.11,0.25,147.56,446.23,PAGO,2022-02-14,PEDIDO COM DATA
193,220,931,3.0,4139.23,0.13,30.81,10834.2,ENVIADO,2022-10-09,PEDIDO COM DATA
195,327,612,4.0,458.97,0.24,49.33,1444.6,PENDENTE,2023-06-30,PEDIDO COM DATA
196,811,940,1.0,11465.46,0.28,90.6,8345.73,CANCELADO,2022-02-27,PEDIDO COM DATA
197,361,971,10.0,8462.83,0.17,36.35,70277.84,PENDENTE,2022-02-10,PEDIDO COM DATA
198,1,340,10.0,3037.94,0.04,110.37,25248.04,CANCELADO,2022-05-29,PEDIDO COM DATA
199,965,679,7.0,8798.53,0.1,55.16,55485.9,CANCELADO,2023-04-03,PEDIDO COM DATA
200,835,180,7.0,4616.21,0.21,27.83,25555.47,CANCELADO,2023-10-14,PEDIDO COM DATA
203,592,667,4.0,2456.59,0.02,128.41,0.0,PAGO,2023-11-24,PEDIDO COM DATA
205,99,51,7.0,8585.11,0.25,31.5,45103.33,PAGO,2023-08-21,PEDIDO COM DATA
206,485,865,2.0,4639.13,0.12,78.47,8243.34,CANCELADO,2024-06-19,PEDIDO COM DATA
207,232,858,5.0,8472.41,0.05,107.51,40351.46,PAGO,2024-12-06,PEDIDO COM DATA
209,172,996,4.0,12130.74,0.04,69.27,46651.31,PAGO,2022-06-28,PEDIDO COM DATA
211,104,805,5.0,13014.78,0.26,132.91,48287.6,ENVIADO,2022-03-21,PEDIDO COM DATA
212,901,340,4.0,758.38,0.14,47.6,2656.43,PENDENTE,2022-10-03,PEDIDO COM DATA
213,762,454,6.0,4055.91,0.13,100.38,21272.23,PENDENTE,2022-05-15,PEDIDO COM DATA
214,519,414,3.0,11712.14,0.16,89.61,-500.0,CANCELADO,2024-01-25,PEDIDO COM DATA
215,518,407,2.0,10223.99,0.07,78.43,19095.05,PAGO,,PEDIDO SEM DATA
216,167,875,10.0,11701.86,0.06,40.99,110038.47,ENVIADO,2022-09-28,PEDIDO COM DATA
218,407,599,2.0,130.07,0.3,145.31,327.41,CANCELADO,2023-10-28,PEDIDO COM DATA
220,415,398,1.0,8753.7,0.3,124.24,6251.83,CANCELADO,2022-12-15,PEDIDO COM DATA
221,898,572,3.0,4420.89,0.14,113.73,11519.63,PENDENTE,2023-09-21,PEDIDO COM DATA
222,909,340,6.0,3923.18,0.09,129.17,21549.73,ENVIADO,2024-12-21,PEDIDO COM DATA
223,56,892,3.0,2077.73,0.06,67.29,5926.49,PENDENTE,2023-10-04,PEDIDO COM DATA
224,5,463,5.0,3156.55,0.23,90.68,12243.4,ENVIADO,,PEDIDO SEM DATA
229,679,533,5.0,9349.51,0.21,68.64,36999.2,CANCELADO,2024-12-07,PEDIDO COM DATA
230,367,721,7.0,4444.36,0.01,79.49,-500.0,PENDENTE,2022-07-04,PEDIDO COM DATA
231,77,741,-1.0,13573.6,0.19,73.95,22063.18,ENVIADO,2022-08-26,PEDIDO COM DATA
232,777,912,1.0,164.89,0.04,100.61,258.9,PAGO,2024-03-31,PEDIDO COM DATA
233,468,279,7.0,10354.74,0.14,69.04,62404.57,ENVIADO,2025-03-11,PEDIDO COM DATA
234,186,626,7.0,11691.88,0.18,130.76,67242.15,PAGO,2023-06-20,PEDIDO COM DATA
235,13,722,9.0,11517.58,0.17,89.1,86125.42,PENDENTE,2024-09-13,PEDIDO COM DATA
239,340,574,10.0,9007.27,0.21,60.86,25248.04,CANCELADO,,PEDIDO SEM DATA
240,505,144,7.0,1622.28,0.18,36.26,9348.15,PAGO,2024-07-11,PEDIDO COM DATA
243,717,908,9.0,4497.72,0.21,130.5,32109.29,PENDENTE,2022-12-31,PEDIDO COM DATA
244,711,653,6.0,10661.08,0.23,88.72,49342.91,ENVIADO,2022-01-27,PEDIDO COM DATA
245,26,391,3.0,814.91,0.02,47.38,2443.22,PAGO,2024-01-05,PEDIDO COM DATA
246,105,631,9.0,12975.33,0.22,88.58,91175.4,CANCELADO,,PEDIDO SEM DATA
247,208,636,8.0,12453.15,0.27,108.65,72835.05,PENDENTE,2022-06-02,PEDIDO COM DATA
248,178,753,9.0,1807.92,0.01,49.08,25248.04,CANCELADO,2022-04-15,PEDIDO COM DATA
249,641,631,5.0,7368.45,0.17,60.13,30639.2,ENVIADO,2022-07-08,PEDIDO COM DATA
250,905,219,6.0,4979.38,0.09,143.04,27330.45,PENDENTE,2023-05-15,PEDIDO COM DATA
252,198,329,9.0,1253.53,0.03,146.03,11089.35,PAGO,2023-02-26,PEDIDO COM DATA
254,462,646,7.0,6506.72,0.01,104.26,45195.83,CANCELADO,2022-08-06,PEDIDO COM DATA
258,257,101,4.0,10889.33,0.15,56.32,37080.04,CANCELADO,2025-04-11,PEDIDO COM DATA
259,581,374,6.0,14380.71,0.05,53.85,82023.9,ENVIADO,2024-08-05,PEDIDO COM DATA
260,794,313,8.0,8284.04,0.05,94.93,63053.63,PAGO,2022-02-08,PEDIDO COM DATA
262,523,93,7.0,5470.71,0.0,43.44,38338.41,PENDENTE,2024-09-17,PEDIDO COM DATA
264,992,534,5.0,12526.39,0.08,86.21,57707.6,PENDENTE,2024-11-23,PEDIDO COM DATA
265,837,889,6.0,7313.19,0.14,94.59,25248.04,PAGO,2023-04-17,PEDIDO COM DATA
266,339,738,0.0,7233.12,0.14,39.5,12480.47,PENDENTE,2022-04-25,PEDIDO COM DATA
268,421,616,3.0,11923.35,0.25,35.46,26863.0,ENVIADO,2022-09-28,PEDIDO COM DATA
269,208,536,9.0,10271.83,0.25,94.77,69429.62,PENDENTE,2025-01-09,PEDIDO COM DATA
270,919,961,7.0,7840.22,0.11,16.08,48860.65,PAGO,2024-05-21,PEDIDO COM DATA
271,489,785,0.0,13653.08,0.03,80.39,53067.71,CANCELADO,2024-04-17,PEDIDO COM DATA
272,159,437,10.0,3819.42,0.26,69.3,28333.01,CANCELADO,2025-02-19,PEDIDO COM DATA
273,260,315,10.0,5178.46,0.21,113.01,41022.84,ENVIADO,2023-11-25,PEDIDO COM DATA
274,629,714,1.0,2427.86,0.29,10.74,1734.52,PAGO,2024-02-27,PEDIDO COM DATA
275,411,629,9.0,4311.31,0.29,80.39,25248.04,PENDENTE,2022-12-14,PEDIDO COM DATA
276,369,245,1.0,14635.18,0.0,48.63,14244.75,CANCELADO,2025-02-19,PEDIDO COM DATA
278,589,257,8.0,14491.51,0.17,80.39,96341.43,PAGO,2024-02-23,PEDIDO COM DATA
280,224,916,10.0,4050.76,0.28,105.64,29271.11,PENDENTE,2023-12-31,PEDIDO COM DATA
283,706,9,1.0,10118.06,0.11,24.1,9029.17,PENDENTE,2024-10-18,PEDIDO COM DATA
284,430,718,6.0,5488.87,0.12,73.1,29054.33,ENVIADO,2023-02-06,PEDIDO COM DATA
285,983,757,3.0,7105.35,0.0,69.01,21385.06,PAGO,2024-03-26,PEDIDO COM DATA
288,980,149,3.0,9615.9,0.28,69.05,25248.04,CANCELADO,2024-03-20,PEDIDO COM DATA
289,456,800,6.0,11223.47,0.16,73.04,56639.33,PENDENTE,2022-12-08,PEDIDO COM DATA
290,98,66,8.0,8235.54,0.01,65.58,65291.06,PENDENTE,2023-08-05,PEDIDO COM DATA
291,130,135,9.0,12581.0,0.01,102.9,112199.61,PENDENTE,2024-07-24,PEDIDO COM DATA
292,652,899,10.0,6535.96,0.19,84.73,53026.01,PAGO,2022-01-01,PEDIDO COM DATA
293,777,869,3.0,5171.4,0.14,11.16,25248.04,CANCELADO,2023-01-22,PEDIDO COM DATA
294,575,448,-1.0,3763.44,0.21,100.44,20912.26,CANCELADO,2023-08-07,PEDIDO COM DATA
295,545,829,5.0,6205.3,0.26,35.54,22995.15,PAGO,,PEDIDO SEM DATA
296,289,276,3.0,10733.64,0.22,42.59,25159.31,PAGO,2023-11-08,PEDIDO COM DATA
297,769,975,3.0,859.45,0.23,19.99,2005.32,PENDENTE,2024-02-28,PEDIDO COM DATA
298,454,254,1.0,3003.71,0.22,23.15,2366.04,PAGO,2023-06-03,PEDIDO COM DATA
299,306,204,6.0,13315.04,0.26,40.49,59159.27,PAGO,2022-03-28,PEDIDO COM DATA
300,708,487,10.0,2341.78,0.23,44.82,18076.53,PENDENTE,2025-01-03,PEDIDO COM DATA
301,129,500,4.0,4764.76,0.17,100.25,25248.04,ENVIADO,2024-06-15,PEDIDO COM DATA
302,556,714,8.0,2862.84,0.06,58.67,21587.23,CANCELADO,2023-06-24,PEDIDO COM DATA
307,184,572,9.0,6239.47,0.03,99.41,54569.98,CANCELADO,2022-11-20,PEDIDO COM DATA
308,615,454,6.0,13539.22,0.17,149.56,67574.88,ENVIADO,2025-01-31,PEDIDO COM DATA
309,261,369,8.0,6723.55,0.12,111.68,47445.47,CANCELADO,2022-02-14,PEDIDO COM DATA
310,966,707,5.0,13788.3,0.15,89.89,58690.17,CANCELADO,2023-09-08,PEDIDO COM DATA
312,944,790,6.0,5231.99,0.25,80.39,23612.26,ENVIADO,2022-04-21,PEDIDO COM DATA
314,152,136,6.0,1256.53,0.17,16.9,6274.42,ENVIADO,2024-03-20,PEDIDO COM DATA
315,201,575,10.0,14956.24,0.16,43.92,125676.34,PENDENTE,2023-10-19,PEDIDO COM DATA
316,672,25,5.0,2555.44,0.1,125.02,11624.5,PAGO,2022-08-19,PEDIDO COM DATA
319,935,676,6.0,12966.95,0.01,131.44,77155.12,PAGO,2023-01-17,PEDIDO COM DATA
322,157,437,5.0,13647.84,0.1,85.91,61501.19,PENDENTE,2024-05-30,PEDIDO COM DATA
325,867,620,8.0,10686.05,0.11,129.3,-500.0,PENDENTE,,PEDIDO SEM DATA
326,888,632,8.0,10324.18,0.26,134.26,61253.41,PAGO,2024-12-02,PEDIDO COM DATA
329,462,26,3.0,6816.14,0.27,135.41,15062.76,PAGO,2022-08-22,PEDIDO COM DATA
330,650,372,2.0,7866.78,0.12,120.75,13966.28,PENDENTE,2022-11-29,PEDIDO COM DATA
331,184,788,1.0,6305.33,0.09,117.61,5855.46,ENVIADO,2024-10-16,PEDIDO COM DATA
332,557,827,1.0,9127.6,0.0,40.36,7798.82,PENDENTE,2022-04-11,PEDIDO COM DATA
333,57,669,6.0,570.08,0.26,103.38,25248.04,PENDENTE,2024-07-21,PEDIDO COM DATA
335,215,627,1.0,1657.35,0.22,98.06,1390.79,CANCELADO,2023-06-16,PEDIDO COM DATA
336,639,363,3.0,9222.06,0.15,112.09,23628.34,ENVIADO,2022-08-30,PEDIDO COM DATA
337,213,819,-1.0,14984.83,0.12,56.73,131923.23,CANCELADO,2022-01-13,PEDIDO COM DATA
338,342,350,7.0,10871.46,0.18,14.08,62416.26,ENVIADO,2022-11-15,PEDIDO COM DATA
340,288,861,1.0,5100.5,0.11,84.8,4624.24,PAGO,2023-07-11,PEDIDO COM DATA
341,509,899,4.0,5586.32,0.25,52.37,0.0,PAGO,2024-10-21,PEDIDO COM DATA
342,349,946,8.0,10991.97,0.16,118.57,73984.61,ENVIADO,2024-03-04,PEDIDO COM DATA
343,535,119,1.0,4678.5,0.01,128.74,4760.45,CANCELADO,2023-10-02,PEDIDO COM DATA
344,215,329,4.0,2904.33,0.0,54.68,10742.61,PENDENTE,2025-01-16,PEDIDO COM DATA
345,327,278,3.0,14150.3,0.24,80.39,32353.05,PAGO,2022-08-05,PEDIDO COM DATA
348,904,333,8.0,7322.85,0.02,25.8,57436.94,PAGO,2023-10-30,PEDIDO COM DATA
349,73,812,5.0,8000.53,0.12,67.88,35270.21,ENVIADO,2025-03-07,PEDIDO COM DATA
350,558,711,4.0,2612.82,0.2,113.51,8474.53,CANCELADO,,PEDIDO SEM DATA
351,702,834,10.0,11574.72,0.11,79.2,103094.21,PAGO,2022-11-02,PEDIDO COM DATA
354,404,641,6.0,10682.37,0.12,70.93,56473.84,CANCELADO,2022-09-15,PEDIDO COM DATA
355,74,664,1.0,2177.06,0.27,102.11,1691.36,ENVIADO,2023-01-04,PEDIDO COM DATA
360,85,130,9.0,1171.4,0.24,45.29,8057.67,ENVIADO,2024-01-28,PEDIDO COM DATA
361,268,802,4.0,7284.08,0.24,130.68,22274.28,ENVIADO,2023-05-03,PEDIDO COM DATA
362,744,653,3.0,3178.63,0.22,58.31,7496.3,PENDENTE,2024-02-17,PEDIDO COM DATA
363,400,486,5.0,2194.34,0.26,80.39,8130.72,CANCELADO,2024-06-03,PEDIDO COM DATA
364,668,879,5.0,5037.81,0.08,23.76,23197.69,CANCELADO,2023-01-04,PEDIDO COM DATA
365,11,689,1.0,12478.71,0.0,80.39,12502.39,PENDENTE,2022-09-07,PEDIDO COM DATA
366,123,89,10.0,1966.01,0.2,135.99,15864.07,ENVIADO,2023-07-21,PEDIDO COM DATA
369,1,956,1.0,9975.8,0.08,108.01,9285.75,PAGO,2025-01-11,PEDIDO COM DATA
370,394,978,0.0,1835.63,0.16,148.82,12484.25,CANCELADO,2023-02-20,PEDIDO COM DATA
372,65,812,-5.0,9658.25,0.15,145.09,-500.0,ENVIADO,2025-01-03,PEDIDO COM DATA
373,594,239,-1.0,572.43,0.04,101.54,-500.0,PENDENTE,2022-05-11,PEDIDO COM DATA
375,813,219,1.0,8904.42,0.1,26.9,8040.88,PAGO,2024-02-10,PEDIDO COM DATA
376,17,901,8.0,1229.22,0.0,139.66,9973.42,PENDENTE,2023-07-09,PEDIDO COM DATA
381,149,222,10.0,6835.76,0.12,29.1,60183.79,PAGO,2022-08-16,PEDIDO COM DATA
382,470,429,3.0,11409.89,0.07,51.32,31884.91,ENVIADO,2024-12-04,PEDIDO COM DATA
383,222,606,8.0,12558.1,0.08,112.2,92539.82,PAGO,2024-05-05,PEDIDO COM DATA
385,245,664,2.0,258.63,0.2,32.65,446.46,PENDENTE,2024-01-29,PEDIDO COM DATA
387,57,528,6.0,13321.91,0.03,61.18,77594.7,CANCELADO,2023-05-04,PEDIDO COM DATA
388,665,490,10.0,13069.55,0.21,115.44,103364.89,ENVIADO,2024-09-22,PEDIDO COM DATA
389,850,126,8.0,10653.18,0.2,84.6,68264.95,PAGO,2022-06-28,PEDIDO COM DATA
390,920,184,5.0,14374.68,0.02,80.39,70469.0,PENDENTE,2024-08-28,PEDIDO COM DATA
392,136,920,-5.0,2592.62,0.08,77.79,12003.84,CANCELADO,2023-01-09,PEDIDO COM DATA
393,860,726,3.0,2435.6,0.04,149.13,7163.66,PENDENTE,2024-02-03,PEDIDO COM DATA
394,999,167,9.0,4537.37,0.0,66.64,29468.8,CANCELADO,2023-08-29,PEDIDO COM DATA
395,297,993,10.0,10009.98,0.0,112.0,76187.85,PAGO,2024-04-02,PEDIDO COM DATA
396,226,457,6.0,1405.37,0.0,99.78,8363.36,PAGO,2024-11-14,PEDIDO COM DATA
397,503,326,10.0,9084.07,0.28,137.18,65542.48,ENVIADO,2025-02-22,PEDIDO COM DATA
398,746,910,8.0,11128.08,0.12,71.95,78413.63,PENDENTE,2023-03-02,PEDIDO COM DATA
399,889,538,6.0,1010.41,0.29,115.86,4420.21,PENDENTE,2023-02-13,PEDIDO COM DATA
400,391,297,9.0,7368.97,0.25,52.28,49792.83,ENVIADO,2022-09-12,PEDIDO COM DATA
