pagamento_id,pedido_id,forma_pagamento,parcelas,bandeira_cartao,valor_pago,status,data_pagamento,status_data
26,4845,CARTÃO,4,SEM BANDEIRA,6318.29,PENDENTE,2023-10-22,COM DATA
27,7245,CARTÃO,9,MASTERCARD,7108.33,ESTORNADO,2023-02-12,COM DATA
28,758,CARTÃO,0,HIPERCARD,9176.88,PAGO,2022-08-07,COM DATA
29,3586,CARTÃO,12,AMERICAN EXPRESS,7779.01,PAGO,2024-06-25,COM DATA
30,8271,DINHEIRO,9,SEM BANDEIRA,6699.79,PAGO,2023-08-09,COM DATA
31,5503,BOLETO,9,SEM BANDEIRA,1227.05,PAGO,2024-03-08,COM DATA
32,9570,PIX,10,SEM BANDEIRA,5718.11,PAGO,2024-09-26,COM DATA
33,7141,DINHEIRO,1,SEM BANDEIRA,5845.08,ESTORNADO,2022-06-21,COM DATA
34,2224,DINHEIRO,3,SEM BANDEIRA,773.26,PENDENTE,2022-02-09,COM DATA
35,854,BOLETO,4,SEM BANDEIRA,0.0,ESTORNADO,2024-08-10,COM DATA
36,6044,CARTÃO,10,SEM BANDEIRA,9116.57,PAGO ,,SEM DATA
37,1670,BOLETO,11,SEM BANDEIRA,9014.17,PAGO,2024-01-12,COM DATA
38,7533,CARTÃO,7,SEM BANDEIRA,2658.53,ESTORNADO,2022-06-27,COM DATA
39,7386,CARTÃO,8,HIPERCARD,8556.35,ESTORNADO,2023-07-20,COM DATA
40,8465,CARTÃO,2,SEM BANDEIRA,3635.51,PENDENTE,2023-05-14,COM DATA
41,9529,BOLETO,8,SEM BANDEIRA,8311.02,PENDENTE,2025-01-02,COM DATA
42,3034,CARTÃO,4,SEM BANDEIRA,11084.3,PENDENTE,2024-12-29,COM DATA
43,746,PIX,9,SEM BANDEIRA,4396.21,PAGO,2022-05-14,COM DATA
44,1214,PIX,3,SEM BANDEIRA,2254.98,ESTORNADO,2024-06-25,COM DATA
45,9643,DINHEIRO,0,SEM BANDEIRA,8538.07,PAGO,2024-07-11,COM DATA
46,7700,BOLETO,1,SEM BANDEIRA,3487.51,ESTORNADO,2024-05-20,COM DATA
47,3684,CARTÃO,5,VISA,12402.93,PAGO,2023-07-12,COM DATA
48,8091,PIX,2,SEM BANDEIRA,8978.59,PENDENTE,2023-07-06,COM DATA
49,2871,DINHEIRO,9,SEM BANDEIRA,9779.61,PENDENTE,2022-11-26,COM DATA
50,8118,BOLETO,11,SEM BANDEIRA,14179.0,ESTORNADO,2025-01-16,COM DATA
51,889,PIX,9,SEM BANDEIRA,5439.45,PENDENTE,2023-05-06,COM DATA
52,5092,PIX,9,SEM BANDEIRA,6131.7,PAGO,2024-08-25,COM DATA
53,9032,CARTÃO,0,AMERICAN EXPRESS,7367.205,ESTORNADO,2025-04-02,COM DATA
54,8023,CARTÃO,8,ELO,8087.94,PENDENTE,,SEM DATA
55,6247,CANCELADO,11,SEM BANDEIRA,11890.06,ESTORNADO,2022-02-01,COM DATA
56,6718,CARTÃO,2,ELO,7052.97,PENDENTE,2024-09-26,COM DATA
57,589,PIX,4,SEM BANDEIRA,9474.79,PENDENTE,2022-04-05,COM DATA
58,920,BOLETO,6,SEM BANDEIRA,5635.12,Pendente,2025-04-09,COM DATA
59,7556,BOLETO,8,SEM BANDEIRA,3844.79,PAGO,2023-05-28,COM DATA
60,4950,CARTÃO,7,MASTERCARD,12802.97,Pendente,2022-04-11,COM DATA
61,8139,BOLETO,4,SEM BANDEIRA,9113.83,PENDENTE,2022-03-22,COM DATA
62,7223,PIX,10,SEM BANDEIRA,5485.62,PAGO,2023-07-13,COM DATA
63,4211,BOLETO,5,SEM BANDEIRA,11203.46,PENDENTE,2024-01-20,COM DATA
64,6465,PIX,0,SEM BANDEIRA,8057.85,PENDENTE,2025-02-23,COM DATA
65,9996,CARTÃO,11,SEM BANDEIRA,966.99,PENDENTE,2022-10-05,COM DATA
66,6079,DINHEIRO,10,SEM BANDEIRA,11139.19,PAGO,2023-04-29,COM DATA
67,10566,BOLETO,9,SEM BANDEIRA,13527.41,ESTORNADO,,SEM DATA
68,3991,CARTÃO,10,MASTERCARD,3093.98,ESTORNADO,2022-09-24,COM DATA
69,2859,PIX,11,SEM BANDEIRA,7367.205,Estornado,2024-07-07,COM DATA
70,8409,PIX,8,SEM BANDEIRA,7567.5,ESTORNADO,2024-05-23,COM DATA
71,10564,DINHEIRO,2,SEM BANDEIRA,13491.02,PENDENTE,2024-05-31,COM DATA
72,1875,CARTÃO,7,HIPERCARD,6784.29,PAGO,,SEM DATA
73,1528,DINHEIRO,2,SEM BANDEIRA,11173.94,PENDENTE,2022-04-16,COM DATA
74,9838,BOLETO,6,SEM BANDEIRA,1571.94,ESTORNADO,2024-05-28,COM DATA
75,10560,PIX,10,SEM BANDEIRA,13937.68,Pendente,2022-03-04,COM DATA
76,8692,CARTÃO,7,MASTERCARD,6309.09,PENDENTE,2022-06-17,COM DATA
77,6948,DINHEIRO,0,SEM BANDEIRA,6641.82,PENDENTE,2024-03-20,COM DATA
78,898,PIX,4,SEM BANDEIRA,4535.26,PAGO,2025-02-18,COM DATA
79,11887,PIX,0,SEM BANDEIRA,12929.23,PAGO,2023-10-28,COM DATA
80,7539,BOLETO,-5,SEM BANDEIRA,6561.94,PAGO,2024-12-22,COM DATA
81,5725,BOLETO,12,SEM BANDEIRA,14374.19,ESTORNADO,2024-10-08,COM DATA
82,9237,DINHEIRO,11,SEM BANDEIRA,7367.205,ESTORNADO,2022-06-01,COM DATA
83,7405,PIX,1,SEM BANDEIRA,5543.69,PENDENTE,2022-03-26,COM DATA
84,9367,CARTÃO,0,MASTERCARD,9082.99,ESTORNADO,2024-06-15,COM DATA
85,8587,CARTÃO,6,HIPERCARD,5605.32,PENDENTE,2023-08-05,COM DATA
86,9875,CARTÃO,6,MASTERCARD,1240.9,ESTORNADO,2023-11-04,COM DATA
87,10633,PIX,11,SEM BANDEIRA,10063.43,ESTORNADO,2022-07-27,COM DATA
88,8844,PIX,0,SEM BANDEIRA,5064.73,ESTORNADO,2024-01-17,COM DATA
89,3892,DINHEIRO,10,SEM BANDEIRA,4288.22,ESTORNADO,2024-06-21,COM DATA
90,4617,DINHEIRO,9,SEM BANDEIRA,7921.35,PAGO,2022-09-13,COM DATA
91,2627,BOLETO,8,SEM BANDEIRA,13581.49,PAGO,2024-03-01,COM DATA
92,6143,CARTÃO,1,SEM BANDEIRA,4793.9,PAGO,2024-07-07,COM DATA
93,1299,PIX,5,SEM BANDEIRA,7367.205,PAGO,2024-10-20,COM DATA
94,270,CARTÃO,12,VISA,2170.78,PENDENTE,2024-11-05,COM DATA
95,8317,PIX,0,SEM BANDEIRA,13102.5,PAGO,2023-11-12,COM DATA
96,5773,BOLETO,11,SEM BANDEIRA,7367.205,ESTORNADO,2023-02-13,COM DATA
97,5171,BOLETO,9,SEM BANDEIRA,5985.4,ESTORNADO,2024-01-24,COM DATA
98,6554,DINHEIRO,7,SEM BANDEIRA,5098.77,PAGO,2023-01-05,COM DATA
99,5263,PIX,2,SEM BANDEIRA,4932.24,PENDENTE,2024-06-09,COM DATA
100,940,PIX,11,SEM BANDEIRA,9569.94,Pago,,SEM DATA
101,7372,BOLETO,6,SEM BANDEIRA,6670.21,PAGO,2025-02-24,COM DATA
102,4265,DINHEIRO,-1,SEM BANDEIRA,14945.55,PENDENTE,2023-10-17,COM DATA
103,1064,BOLETO,5,SEM BANDEIRA,7367.205,ESTORNADO,2024-01-26,COM DATA
104,9039,CARTÃO,10,ELO,13266.01,PAGO,2022-06-01,COM DATA
105,8477,BOLETO,3,SEM BANDEIRA,13171.84,ESTORNADO,2023-04-07,COM DATA
106,8502,BOLETO,2,SEM BANDEIRA,3774.07,ESTORNADO,2023-11-23,COM DATA
107,9235,PIX,1,SEM BANDEIRA,1236.72,ESTORNADO,2024-09-16,COM DATA
108,6654,BOLETO,8,SEM BANDEIRA,1113.14,PAGO,2024-03-27,COM DATA
109,6071,PIX,0,SEM BANDEIRA,3641.23,PAGO,2025-03-29,COM DATA
110,3111,CARTÃO,0,HIPERCARD,14939.62,PENDENTE,2023-07-31,COM DATA
111,7711,BOLETO,9,SEM BANDEIRA,142.5,Pago,2022-05-31,COM DATA
112,7379,BOLETO,10,SEM BANDEIRA,10212.37,PAGO,,SEM DATA
113,2246,BOLETO,8,SEM BANDEIRA,7799.6,PAGO,2024-12-26,COM DATA
114,9223,BOLETO,8,SEM BANDEIRA,7367.205,PENDENTE,2025-03-30,COM DATA
115,842,DINHEIRO,0,SEM BANDEIRA,7873.0,ESTORNADO,2024-10-24,COM DATA
116,7727,PIX,12,SEM BANDEIRA,2088.48,PAGO,2023-06-26,COM DATA
117,3151,CARTÃO,5,ELO,8380.14,PAGO,2023-08-13,COM DATA
118,11957,DINHEIRO,7,SEM BANDEIRA,12279.29,PAGO,2025-02-25,COM DATA
119,11854,PIX,10,SEM BANDEIRA,7367.205,PAGO,2025-02-01,COM DATA
120,2588,DINHEIRO,11,SEM BANDEIRA,14026.78,Pendente,2022-03-18,COM DATA
121,2869,DINHEIRO,3,SEM BANDEIRA,14010.16,PAGO,2023-11-18,COM DATA
122,8902,DINHEIRO,3,SEM BANDEIRA,12768.87,PENDENTE,2025-03-08,COM DATA
123,3165,CARTÃO,10,HIPERCARD,12845.07,PENDENTE,2023-04-28,COM DATA
124,4375,BOLETO,5,SEM BANDEIRA,8745.26,ESTORNADO,2023-09-29,COM DATA
125,4834,BOLETO,10,SEM BANDEIRA,3328.32,PAGO,2023-03-24,COM DATA
126,11156,PIX,9,SEM BANDEIRA,6712.28,ESTORNADO,2024-06-23,COM DATA
127,3366,DINHEIRO,2,SEM BANDEIRA,7367.205,PENDENTE,2022-01-07,COM DATA
128,9476,PIX,1,SEM BANDEIRA,6366.99,ESTORNADO,2024-05-10,COM DATA
129,6267,DINHEIRO,0,SEM BANDEIRA,5647.17,ESTORNADO,2022-02-16,COM DATA
130,7586,DINHEIRO,9,SEM BANDEIRA,5701.56,PAGO,2022-02-02,COM DATA
131,1103,PIX,10,SEM BANDEIRA,522.97,ESTORNADO,2025-03-25,COM DATA
132,9797,BOLETO,4,SEM BANDEIRA,4540.43,PAGO,2022-04-07,COM DATA
133,6245,BOLETO,12,SEM BANDEIRA,6256.54,PAGO,2025-02-25,COM DATA
134,6825,CARTÃO,7,ELO,3658.02,PAGO,2022-03-22,COM DATA
135,3083,PIX,8,ELO,3149.16,PENDENTE,2023-02-23,COM DATA
136,3922,BOLETO,5,SEM BANDEIRA,5722.31,ESTORNADO,2023-02-21,COM DATA
137,11134,PIX,10,SEM BANDEIRA,12963.99,ESTORNADO,2024-10-19,COM DATA
138,5531,BOLETO,8,SEM BANDEIRA,14498.29,ESTORNADO,2022-05-01,COM DATA
139,10310,CANCELADO,1,SEM BANDEIRA,7367.205,ESTORNADO,,SEM DATA
140,4502,BOLETO,1,SEM BANDEIRA,7543.2,ESTORNADO,2023-07-02,COM DATA
141,1295,BOLETO,7,SEM BANDEIRA,6895.79,PAGO,,SEM DATA
142,2808,PIX,8,SEM BANDEIRA,12683.04,pago,,SEM DATA
143,4594,PIX,3,SEM BANDEIRA,13932.92,PENDENTE,2024-03-07,COM DATA
144,8857,BOLETO,0,SEM BANDEIRA,11339.03,CANCELADO,,SEM DATA
145,7382,DINHEIRO,4,SEM BANDEIRA,5350.05,PENDENTE,2024-02-18,COM DATA
146,2528,DINHEIRO,6,SEM BANDEIRA,5423.29,PAGO,,SEM DATA
147,10848,PIX,10,SEM BANDEIRA,8978.7,PENDENTE,2024-02-19,COM DATA
148,4406,BOLETO,5,SEM BANDEIRA,7367.205,PAGO,2024-07-26,COM DATA
149,4992,PIX,7,SEM BANDEIRA,4996.61,ESTORNADO,2023-02-16,COM DATA
150,2911,DINHEIRO,6,SEM BANDEIRA,4385.89,ESTORNADO,2025-01-22,COM DATA
151,9013,PIX,12,SEM BANDEIRA,6935.1,ESTORNADO,2023-05-11,COM DATA
152,2526,DINHEIRO,7,SEM BANDEIRA,1128.0,ESTORNADO,2025-01-04,COM DATA
153,1393,CARTAO,0,SEM BANDEIRA,9870.87,PENDENTE,2023-06-14,COM DATA
154,8500,CARTÃO,8,SEM BANDEIRA,7367.205,PENDENTE,2022-10-18,COM DATA
155,5621,DINHEIRO,4,SEM BANDEIRA,7367.205,PENDENTE,2022-12-03,COM DATA
156,3997,CARTÃO,9,HIPERCARD,7367.205,ESTORNADO,2023-02-09,COM DATA
157,7038,DINHEIRO,0,SEM BANDEIRA,10576.94,PAGO,2024-09-29,COM DATA
158,5135,DINHEIRO,10,SEM BANDEIRA,5900.31,PAGO,2023-10-04,COM DATA
159,5004,PIX,3,SEM BANDEIRA,5612.12,PAGO,2025-02-10,COM DATA
160,10736,CARTÃO,3,AMERICAN EXPRESS,4732.41,PENDENTE,2024-10-04,COM DATA
161,7273,DINHEIRO,3,SEM BANDEIRA,1258.41,PAGO,2022-08-20,COM DATA
162,4390,BOLETO,9,SEM BANDEIRA,12342.71,PAGO,2023-12-15,COM DATA
163,1426,DINHEIRO,2,SEM BANDEIRA,11638.96,PAGO,2023-02-28,COM DATA
164,9341,BOLETO,9,SEM BANDEIRA,4230.65,ESTORNADO,2024-04-22,COM DATA
165,4544,CARTÃO,12,MASTERCARD,12993.86,PAGO,,SEM DATA
166,6601,BOLETO,0,SEM BANDEIRA,14046.31,PENDENTE,2024-12-30,COM DATA
167,7040,CARTÃO,8,ELO,7367.205,PENDENTE,,SEM DATA
168,7231,DINHEIRO,1,SEM BANDEIRA,14877.74,PENDENTE,2022-06-18,COM DATA
169,2712,PIX,0,SEM BANDEIRA,9391.55,CANCELADO,2023-12-05,COM DATA
170,6920,CARTÃO,8,VISA,1081.01,PENDENTE,,SEM DATA
171,139,CARTÃO,8,SEM BANDEIRA,5280.79,PAGO,2024-02-26,COM DATA
172,7036,BOLETO,3,SEM BANDEIRA,3731.84,ESTORNADO,2023-02-25,COM DATA
173,8349,CARTÃO,12,VISA,5888.43,ESTORNADO,2022-01-25,COM DATA
174,5186,CARTÃO,7,SEM BANDEIRA,12914.99,ESTORNADO,2022-03-23,COM DATA
175,6521,BOLETO,11,SEM BANDEIRA,10695.18,PENDENTE,2022-11-15,COM DATA
176,10177,PIX,5,SEM BANDEIRA,10486.16,Estornado,2022-10-09,COM DATA
177,2685,DINHEIRO,6,SEM BANDEIRA,7367.205,ESTORNADO,2023-07-12,COM DATA
178,4309,PIX,8,SEM BANDEIRA,6838.86,PENDENTE,,SEM DATA
179,4007,PIX,8,SEM BANDEIRA,5472.37,PAGO,2023-10-18,COM DATA
180,1277,BOLETO,0,SEM BANDEIRA,7367.205,PAGO,,SEM DATA
181,4778,BOLETO,0,SEM BANDEIRA,9348.31,PENDENTE,,SEM DATA
182,5676,PIX,6,SEM BANDEIRA,41.9,ESTORNADO,2023-07-28,COM DATA
183,3793,DINHEIRO,12,SEM BANDEIRA,13435.76,PENDENTE,2023-08-21,COM DATA
184,5162,DINHEIRO,12,SEM BANDEIRA,12481.86,PENDENTE,2023-10-06,COM DATA
185,8781,BOLETO,4,SEM BANDEIRA,6789.72,PENDENTE,2022-10-31,COM DATA
186,4067,BOLETO,0,SEM BANDEIRA,7711.63,ESTORNADO,2022-10-14,COM DATA
187,1011,CARTÃO,3,ELO,2988.03,PENDENTE,2024-06-27,COM DATA
188,1507,BOLETO,2,SEM BANDEIRA,659.59,Estornado,2023-07-18,COM DATA
189,2436,PIX,10,SEM BANDEIRA,9295.26,PAGO,2023-05-26,COM DATA
190,8908,PIX,7,SEM BANDEIRA,11733.1,PENDENTE,,SEM DATA
191,8675,BOLETO,10,SEM BANDEIRA,14994.09,PAGO,2024-03-06,COM DATA
192,2847,CARTÃO,4,SEM BANDEIRA,8895.94,ESTORNADO,2024-10-05,COM DATA
193,10979,CANCELADO,1,SEM BANDEIRA,1372.06,PAGO,2022-02-14,COM DATA
194,2321,PIX,9,SEM BANDEIRA,12912.83,PAGO,2024-09-24,COM DATA
195,2855,BOLETO,4,SEM BANDEIRA,9989.66,PAGO,,SEM DATA
196,5214,PIX,11,MASTERCARD,8491.94,PENDENTE,2023-11-19,COM DATA
197,4346,CARTÃO,0,ELO,10403.78,PENDENTE,2025-01-23,COM DATA
198,10535,CARTÃO,-1,ELO,6780.29,PAGO,2023-11-24,COM DATA
199,7910,PIX,7,SEM BANDEIRA,14137.79,PAGO,2023-07-31,COM DATA
200,10008,PIX,7,SEM BANDEIRA,7367.205,PENDENTE,2023-08-21,COM DATA
201,7759,PIX,0,SEM BANDEIRA,11777.45,PENDENTE,2024-06-19,COM DATA
202,3707,BOLETO,10,SEM BANDEIRA,943.36,ESTORNADO,2024-05-07,COM DATA
203,11170,CARTÃO,8,SEM BANDEIRA,4496.8,PENDENTE,2022-12-09,COM DATA
204,3158,CARTÃO,1,HIPERCARD,6362.16,ESTORNADO,2025-02-13,COM DATA
205,5344,BOLETO,9,SEM BANDEIRA,6883.19,PAGO,2023-08-09,COM DATA
206,10565,DINHEIRO,5,SEM BANDEIRA,5757.99,PENDENTE,2022-04-11,COM DATA
207,4401,BOLETO,1,SEM BANDEIRA,5081.23,PENDENTE,2023-10-20,COM DATA
208,6829,PIX,4,SEM BANDEIRA,6636.91,PENDENTE,2024-12-09,COM DATA
209,475,CARTÃO,4,VISA,13130.2,PAGO,2022-09-11,COM DATA
210,3964,BOLETO,8,SEM BANDEIRA,8918.77,PAGO,2022-11-30,COM DATA
211,3512,CARTÃO,11,ELO,3392.18,PAGO,2022-01-18,COM DATA
212,9968,BOLETO,12,SEM BANDEIRA,14506.03,ESTORNADO,,SEM DATA
213,9199,BOLETO,5,SEM BANDEIRA,10272.51,PENDENTE,2024-11-25,COM DATA
214,931,DINHEIRO,11,SEM BANDEIRA,4807.39,PAGO,2023-01-24,COM DATA
215,3644,DINHEIRO,11,SEM BANDEIRA,5390.29,PENDENTE,2023-01-10,COM DATA
216,5500,PIX,4,SEM BANDEIRA,5342.15,ESTORNADO,2025-04-03,COM DATA
217,1167,DINHEIRO,4,SEM BANDEIRA,7517.15,ESTORNADO,2024-07-26,COM DATA
218,2955,PIX,8,SEM BANDEIRA,5002.79,PAGO,2022-09-23,COM DATA
219,10409,DINHEIRO,0,SEM BANDEIRA,7367.205,PENDENTE,2023-05-25,COM DATA
220,5642,BOLETO,3,SEM BANDEIRA,1558.57,ESTORNADO,2022-10-02,COM DATA
221,8032,BOLETO,4,SEM BANDEIRA,2489.95,PENDENTE,2022-03-18,COM DATA
222,4191,CARTAO,10,SEM BANDEIRA,14920.31,ESTORNADO,2022-01-20,COM DATA
223,1655,BOLETO,10,SEM BANDEIRA,9092.4,PAGO,2023-06-23,COM DATA
224,3305,BOLETO,12,SEM BANDEIRA,6158.15,PAGO,2025-03-21,COM DATA
225,2444,PIX,9,SEM BANDEIRA,1144.22,ESTORNADO,2023-08-19,COM DATA
226,5124,DINHEIRO,12,SEM BANDEIRA,1756.2,PAGO,2023-12-03,COM DATA
227,6567,DINHEIRO,8,SEM BANDEIRA,4092.06,PENDENTE,2024-05-02,COM DATA
228,7909,DINHEIRO,3,SEM BANDEIRA,9177.62,PENDENTE,2022-05-10,COM DATA
229,5149,PIX,12,SEM BANDEIRA,13027.62,ESTORNADO,2023-12-10,COM DATA
230,11914,CARTÃO,9,VISA,13383.09,ESTORNADO,,SEM DATA
231,9020,DINHEIRO,0,SEM BANDEIRA,12260.21,PAGO,2024-04-06,COM DATA
232,9129,PIX,2,SEM BANDEIRA,11880.91,ESTORNADO,2023-11-11,COM DATA
233,9830,DINHEIRO,12,SEM BANDEIRA,9864.36,ESTORNADO,,SEM DATA
234,8068,CARTÃO,12,VISA,11142.81,PENDENTE,,SEM DATA
235,2019,CARTAO,0,SEM BANDEIRA,9883.68,ESTORNADO,2025-03-30,COM DATA
236,2104,PIX,7,SEM BANDEIRA,9869.68,ESTORNADO,2024-07-16,COM DATA
237,2264,DINHEIRO,10,SEM BANDEIRA,10506.21,ESTORNADO,2023-12-09,COM DATA
238,2174,CARTÃO,9,ELO,8146.52,ESTORNADO,2024-12-29,COM DATA
239,10116,PIX,9,SEM BANDEIRA,1614.93,PENDENTE,2023-08-28,COM DATA
240,8867,PIX,6,SEM BANDEIRA,12214.11,PAGO,2024-03-04,COM DATA
241,5123,PIX,1,SEM BANDEIRA,11160.18,PAGO,2023-02-01,COM DATA
242,2907,PIX,3,SEM BANDEIRA,14437.88,ESTORNADO,,SEM DATA
243,9780,PIX,11,SEM BANDEIRA,9241.82,ESTORNADO,2024-10-31,COM DATA
244,8898,DINHEIRO,2,SEM BANDEIRA,5254.06,PAGO,2022-08-23,COM DATA
245,7302,CARTÃO,11,MASTERCARD,9213.24,ESTORNADO,2024-11-24,COM DATA
246,6144,DINHEIRO,8,SEM BANDEIRA,676.9,ESTORNADO,2023-03-13,COM DATA
247,6951,PIX,4,SEM BANDEIRA,8075.56,ESTORNADO,2023-05-31,COM DATA
248,9421,CARTÃO,5,SEM BANDEIRA,6126.34,Estornado,2022-05-29,COM DATA
249,8239,PIX,5,SEM BANDEIRA,11807.64,pago,2025-01-22,COM DATA
250,2361,BOLETO,11,SEM BANDEIRA,13306.93,CANCELADO,2023-03-07,COM DATA
251,5634,CARTÃO,7,MASTERCARD,13586.31,ESTORNADO,2025-01-29,COM DATA
252,9006,PIX,5,SEM BANDEIRA,10081.85,PENDENTE,2023-02-01,COM DATA
253,7384,BOLETO,10,SEM BANDEIRA,9898.15,pago,2023-07-21,COM DATA
254,2201,BOLETO,8,SEM BANDEIRA,6953.47,PENDENTE,2022-06-06,COM DATA
255,306,PIX,10,SEM BANDEIRA,8691.93,ESTORNADO,2023-08-19,COM DATA
256,8211,PIX,7,SEM BANDEIRA,5470.71,PAGO,2022-10-27,COM DATA
257,10757,BOLETO,1,SEM BANDEIRA,3297.91,PENDENTE,2022-03-23,COM DATA
258,5310,PIX,12,SEM BANDEIRA,14527.25,ESTORNADO,2024-11-24,COM DATA
259,3652,DINHEIRO,-1,SEM BANDEIRA,12262.21,PENDENTE,2022-11-19,COM DATA
260,1939,CARTÃO,7,SEM BANDEIRA,7367.205,ESTORNADO,2022-11-26,COM DATA
261,8400,PIX,10,SEM BANDEIRA,2220.04,PAGO,2022-06-25,COM DATA
262,9938,DINHEIRO,8,SEM BANDEIRA,2575.09,PENDENTE,2022-05-21,COM DATA
263,6316,CARTÃO,2,AMERICAN EXPRESS,268.11,ESTORNADO,2022-08-29,COM DATA
264,2136,CANCELADO,11,SEM BANDEIRA,9745.49,ESTORNADO,2025-03-25,COM DATA
265,2194,BOLETO,8,SEM BANDEIRA,7367.205,PAGO,2023-10-09,COM DATA
266,1747,CARTÃO,7,ELO,9780.61,PENDENTE,2024-09-15,COM DATA
267,9161,DINHEIRO,5,SEM BANDEIRA,14827.85,ESTORNADO,2022-07-25,COM DATA
268,6563,BOLETO,0,SEM BANDEIRA,9218.1,ESTORNADO,2024-01-30,COM DATA
269,619,DINHEIRO,7,SEM BANDEIRA,9217.2,ESTORNADO,2024-11-27,COM DATA
270,551,PIX,10,ELO,2558.85,PAGO,2022-02-01,COM DATA
271,1125,PIX,9,SEM BANDEIRA,7367.205,ESTORNADO,2024-11-02,COM DATA
272,1186,BOLETO,6,SEM BANDEIRA,14206.29,ESTORNADO,2024-07-28,COM DATA
273,9615,PIX,0,SEM BANDEIRA,1761.7,PAGO,2023-06-24,COM DATA
274,1524,DINHEIRO,11,SEM BANDEIRA,11236.85,PENDENTE,2023-01-25,COM DATA
275,3272,CARTÃO,12,MASTERCARD,3646.01,PENDENTE,2024-10-05,COM DATA
276,8872,PIX,8,SEM BANDEIRA,5580.52,PENDENTE,2025-03-27,COM DATA
277,8614,DINHEIRO,0,SEM BANDEIRA,14096.02,PAGO,2023-03-08,COM DATA
278,1651,BOLETO,6,SEM BANDEIRA,9199.42,PENDENTE,2024-02-02,COM DATA
279,6564,BOLETO,8,SEM BANDEIRA,2714.74,PAGO,2024-08-26,COM DATA
280,2894,DINHEIRO,8,SEM BANDEIRA,2034.39,ESTORNADO,2024-09-02,COM DATA
281,1578,DINHEIRO,12,SEM BANDEIRA,7367.205,PENDENTE,2025-01-07,COM DATA
282,4664,BOLETO,6,SEM BANDEIRA,10104.43,PENDENTE,2025-03-16,COM DATA
283,1169,PIX,3,SEM BANDEIRA,5167.51,PENDENTE,2024-12-02,COM DATA
284,6783,CARTÃO,3,SEM BANDEIRA,12816.09,PAGO,2024-08-27,COM DATA
285,432,DINHEIRO,9,SEM BANDEIRA,11479.65,PAGO,2022-09-26,COM DATA
286,2796,PIX,1,SEM BANDEIRA,9959.97,PENDENTE,2024-07-24,COM DATA
287,9241,DINHEIRO,0,SEM BANDEIRA,9604.0,ESTORNADO,2024-12-07,COM DATA
288,2234,BOLETO,0,SEM BANDEIRA,7048.59,PAGO,2025-02-22,COM DATA
289,4095,CARTAO,12,HIPERCARD,11062.03,PENDENTE,2024-12-25,COM DATA
290,6766,CARTÃO,2,SEM BANDEIRA,7367.205,PENDENTE,2023-01-16,COM DATA
291,4623,BOLETO,3,SEM BANDEIRA,10733.64,ESTORNADO,2022-03-06,COM DATA
292,2394,PIX,5,SEM BANDEIRA,11639.28,Pendente,2023-05-22,COM DATA
